title,text,author,published,tags,source
Irischer Finanzminister Donohoe wird Chef der Eurogruppe,"Der irische Finanzminister Paschal Donohoe wird neuer Chef der Euro-Gruppe. Dies entschieden die 19 Staaten der Gemeinschaftswährung am Donnerstag in einer Videokonferenz, wie der scheidende Gruppenchef Mário Centeno auf Twitter mitteilte.

Anzeige

Mitten in der Corona-Wirtschaftskrise übernimmt der irische Finanzminister Paschal Donohoe den Vorsitz der Eurogruppe. Die 19 Staaten der Gemeinschaftswährung wählten den bürgerlichen Politiker am Donnerstag in einer Videokonferenz für zweieinhalb Jahre. Donohoe erklärte anschließend die wirtschaftliche Erholung von der Rezession zur Priorität. Viele Menschen in Europa hätten Angst um ihre Jobs und ihre Einkommen, sagte er.

Donohoe folgt auf den Portugiesen Mario Centeno, der das Amt nach zweieinhalb Jahren abgibt. Der 45 Jahre alte Ire setzte sich überraschend gegen zwei Mitbewerber durch: die Spanierin Nadia Calviño und den Luxemburger Pierre Gramegna. Calviño galt als Favoritin. Auch Bundesfinanzminister Olaf Scholz hatte Sympathie für die Sozialistin erkennen lassen.

Nach der Wahl lobte Scholz aber, Donohoe habe bisher gute Arbeit geleistet. Er sei sicher, dass sich die Eurogruppe nun aufs Wesentliche konzentrieren werde, nämlich die wirtschaftliche Erholung, sagte der SPD-Politiker.

Anzeige

Die Euro-Gruppe ist ein informelles Gremium der Wirtschafts- und Finanzminister aus den 19 Staaten der Währungszone. Sie beraten normalerweise einmal im Monat und koordinieren sich in Fragen der Wirtschafts- und Finanzpolitik. Der oder die Vorsitzende gilt als einflussreicher Koordinator und Wortführer.

An dieser Stelle finden Sie Inhalte aus Twitter Um mit Inhalten aus Twitter und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Der 45-jährige Donohoe gehört der bürgerlichen Partei Fine Gael an und ist seit Juni 2017 Finanzminister seines Landes. Er hatte die Unterstützung der christdemokratischen Parteienfamilie Europäische Volkspartei (EVP). Der verheiratete Vater zweier Kinder hat einen Abschluss in Politik und Wirtschaft.

Lesen Sie auch Kanzlerin in Brüssel Merkel überrascht Europa mit einer klaren Ansage

Donohoe gehört der bürgerlichen Partei Fine Gael an und ist seit Juni 2017 Finanzminister seines Landes. Er hatte die Unterstützung der christdemokratischen Parteienfamilie Europäische Volkspartei. Der verheiratete Vater zweier Kinder hat einen Abschluss in Politik und Wirtschaft.

Anzeige

Die Rezession wegen der Pandemie ist die tiefste in der Geschichte der Europäischen Union und der 2002 als Zahlungsmittel eingeführten Gemeinschaftswährung. Nach der jüngsten Prognose der EU-Kommission wird die Wirtschaftsleistung der Eurozone dieses Jahr um 8,7 Prozent schrumpfen und sich nächstes Jahr nur teilweise erholen.

Der scheidende Vorsitzende Centeno äußerte jedoch die Hoffnung, dass die erwogenen Konjunkturhilfen das Schlimmste abwenden können: „Ich erwarte, dass diese politische Antwort das Schicksal verändert und uns hilft, den Schlag abzufedern und den Binnenmarkt zu schützen.“

EU-Kommissionsvize Valdis Dombrovskis sagte Donohoe seine Unterstützung zu. „Sie übernehmen das Eurogruppen-Schiff als Kapitän unter sehr stürmischen Bedingungen“, erklärte Dombrovskis. Er sei aber sicher, dass Donohoe das Ruder geschickt führen werde. Irlands Ex-Premierminister und Fine-Gael-Chef Leo Varadkar bezeichnete die Wahl Donohoes als „fantastisches Ergebnis für Europa und Irland“.

Anzeige

Enttäuscht äußerte sich die Fraktionschefin der Sozialdemokraten im Europaparlament, Iratxe García. Es sei eine „verpasste Chance“, dass nicht eine starke Frau wie Calviño die Eurogruppe führe.

Der Grünen-Europapolitiker Sven Giegold schrieb auf Twitter über Donohoes Wahl: „Ein schlechtes Signal für den Kampf gegen Steuerdumping: Ein Steueroasenbetreiber wird Eurogruppenchef. Jeder verdient eine Chance, aber er steht unter besonderer Beobachtung.“ Irland hatte mit sehr günstigen Steuersätzen in den vergangenen Jahren unter anderen große US-Techkonzerne angelockt.","'Tobias Kaiser', 'Virginia Kirst', 'Robin Alexander'",1594315670,"Ausland,Überraschende Wahl",welt
So sieht das Traumauto der Generation Z aus,,"Florian Gehm, Moritz Seyffarth, Nando Sommerfeldt",1594283962,"Wirtschaft,Motorisierte Jugend",welt
Altmaier nennt entscheidende Bedingung für Lockerung der Maskenpflicht,,"'Julian Aé', 'Stephan Maaß', 'Tobias Kaiser'",1594454126,"Deutschland,Pandemie",welt
Wer soll das bezahlen? Die offenen Fragen zur Corona-Testpflicht,,"Ricarda Breyton, Kaja Klapsa",1595955942,"Deutschland,Rückkehr aus Risikogebieten",welt
Nach Protesten - US-Autokino zeigt Film „Kindergarten Cop“ nicht,"Anzeige

Für Kritiker ist die US-Metropole Portland längst schon die „Hauptstadt der politisch Korrekten“. Nirgendwo tobten die Anti-Rassismus-Proteste nach dem Tod von George Floyd heftiger. Heftig kommentiert wurde nun auch eine Meldung der Zeitung „Washington Times“.

Demnach hat ein Kino in der Stadt nach Protesten darauf verzichtet, den Film „Kindergarten Cop“ ins Programm zu nehmen. Die Begründung der Kritiker: Der Streifen aus dem Jahr 1990 zeige ein zu positives, gar romantisches Bild der Polizei. Zu sehen ist darin, wie Arnold Schwarzenegger als Undercover-Ermittler in einem Kindergarten arbeitet, um einem Drogendealer auf die Spur zu kommen.

Lesen Sie auch Trump gegen Portland Diese Serie erklärt Amerikas Kreuzberg

Der erste Appell an das Northwest Film Center erfolgte von der Autorin Lois Leveen, und zwar über Twitter. Sie wies die Betreiber darauf hin, dass die Anwesenheit von Polizei in Schulen und Kindergärten „nicht unterhaltsam“ sei. „Ja, ‚Kindergarten Cop‘“ ist nur ein Film. Das sind ‚Birth of a Nation‘ und ‚Vom Winde verweht‘ aber auch. Mittlerweile haben wir aber doch wohl erkannt, dass solche Filme kein guter Familienspaß sind“, schrieb sie am Samstag laut der Zeitung.

Muss bald auch „Paw Patrol“ verboten werden?

Anzeige

Mehr noch, diese Filme seien „Relikte“ davon, wie die „Popkultur rassistische Annahmen“ verbreite. Öffentlich lesbar sind ihre Tweets nicht: Leveens Konto (knapp 500 Follower) ist (womöglich erst seit Kurzem?) auf privat gestellt.

Umso erstaunlicher, welche Kraft ihre Aussagen entfalteten: Wenig später machte das Kino - das derzeit nur Open-Air-Veranstaltungen, sprich, ein Autokino anbietet - publik, dass es den Film nicht wie geplant ausstrahle. Zu der Entscheidung sei man gekommen, nachdem man sowohl mit Leveen wie auch mit „Mitgliedern der örtlichen Community“ und den eigenen Beschäftigten diskutiert habe.

Lesen Sie auch Portland Amerikas Berlin-Kreuzberg – Trumps perfektes Ziel

Sie alle hätten den Anbieter gebeten, das Drive-In mit einem anderen Film zu eröffnen, berichtete auch die „New York Post“ zu dem Fall. Stattdessen werde man nun mit „Good Trouble“ einen Dokumentarfilm über den am 17. Juli verstorbenen schwarzen Bürgerrechtler John Lewis zeigen, hieß es vonseiten des Kinos weiter.

An dieser Stelle finden Sie Inhalte aus Twitter Um mit Inhalten aus Twitter und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Anzeige

Im Internet schlug die Meldung hohe Wellen. Der Comedian Andrew Doyle, der unter dem Namen Titania McGrath einen Satire-Account betreibt, kommentierte spöttisch mit den Worten, dass der Bann schon lange überfällig sei, weil „Kindergarten Cop“ ja nicht nur Polizeiarbeit viel zu glamourös darstelle, sondern auch „transphoben Hass“ schüre.

Dazu postete er/sie einen Filmausschnitt. Darin erklärt ein kleiner Junge, dass Jungen einen Penis und Mädchen eine Vagina hätten. Andere User sammelten bereits fleißig andere Filme und Serien, die unter diesem Blickwinkel nun verboten werden müssten: die Kinderserie „Paw Patrol“ und natürlich diverse andere Schwarzenegger-Filme wie „Terminator“.",'Daniel Friedrich Sturm',1596709308,"Panorama,„Zu positives“ Polizeibild",welt
„Das ist ein auf jeden Fall ein guter Startpunkt“,,,1595317367,"Videos,Sonderzahlungen für Ostdeutschland",welt
„Um diese Gewalt haben wir uns normalerweise gekümmert“,"WELT: Herr Toussi, Sie betreiben drei Clubs in Frankfurt und kennen die verschiedenen Gruppierungen, die sich nachts in der Stadt tummeln. Haben Sie die Ausschreitungen am Wochenende am Opernplatz überrascht?

Rusbeh Toussi: Nein, im Gegenteil. Die Aggressionen, die wir hier in Frankfurt und auch in Stuttgart gesehen haben, ist das tägliche Business der Clubs. Vor Corona waren wir der Puffer, aber wir mussten ja zumachen.

WELT: Sie haben die Lage in der Nacht zum Sonntag mitverfolgt. Würden Sie sagen, dass es sich um die gleichen Gruppierungen handelt, mit denen Sie auch regelmäßig Ärger haben?",Luisa Hofmeier,1595311443,"Deutschland,Eskalation in Frankfurt",welt
Polizei räumt Protest-Camp vor New Yorker Rathaus,"Anzeige

Die US-Regierung wird „Hunderte“ Sicherheitskräfte des Bundes in die Stadt Chicago verlegen. Damit solle einer Welle der Gewalt in der Millionenmetropole begegnet werden, erklärte US-Präsident Donald Trump am Mittwoch im Weißen Haus. Dort habe es zuletzt eine „schockierende Explosion an Tötungen“ und Gewaltverbrechen mit Schusswaffengebrauch gegeben, sagte Trump. „Dieses Blutvergießen muss ein Ende haben.“

Chicagos Bürgermeisterin Lori Lightfoot hatte sich zuvor klar gegen eine Entsendung der paramilitärisch anmutenden Sicherheitskräfte des Bundes ausgesprochen. „Ich werde Donald Trumps Truppen unter keinen Umständen erlauben, nach Chicago zu kommen und unsere Bürger zu terrorisieren“, schrieb die Demokratin am Dienstag auf Twitter.

In einem politisch sehr ungewöhnlichen Schritt hatte die Regierung bereits gegen den erklärten Willen der Stadt Sicherheitskräfte nach Portland im Westküstenstaat Oregon entsandt. Chicago dürfte zunächst auch keine juristische Handhabe gegen die Entsendung der Kräfte des Bundes haben. In Oregon sind aber bereits Klagen gegen das zum Teil brutale Vorgehen der Bundestruppen anhängig, unter anderem von der Justizministerin des Bundesstaats.

Die Polizei von Chicago ermittelt am Tatort nach Schüssen am Rande einer Trauerfeier. Nach Angaben der Polizei wurden 15 Menschen verletzt Quelle: dpa/Chris Sweda

Anzeige

Der Republikaner Trump, der sich im November um eine zweite Amtszeit bemüht, wirbt im Wahlkampf mit dem Einsatz für Sicherheit, Recht und Ordnung. Er wirft den Demokraten vor, Großstädte protestierenden „Anarchisten“ und Gewalttätern zu überlassen.

Trump kündigte am Mittwoch an, die Regierung werde einigen Kommunen zusätzliche Mittel für die Einstellung von Polizisten zur Verfügung stellen. Zudem sollen Kräfte des Bundes bald auch in andere Städte entsandt werden, kündigte Trump an – ohne weitere Details zu nennen.

Lesen Sie auch Ausgerechnet auf Fox News Diese Interviewblamage ist doppelt besorgniserregend für Trump

Erst am Dienstag waren bei einer Schießerei in Chicago 15 Menschen teilweise schwer verletzt worden. Bei einem separaten Zwischenfall wurde ein dreijähriges Mädchen angeschossen. In Chicago kommt es bei Auseinandersetzungen rivalisierender Gangs zu vielen Gewaltverbrechen.

Polizei räumt Protest-Camp in New York

Anzeige

Die New Yorker Polizei hat ein Lager von Anti-Rassismus-Demonstranten vor dem Rathaus der Stadt geräumt. „Es war Zeit, zu handeln“, sagte Bürgermeister Bill de Blasio. Polizeichef Dermot Shea erklärte, es habe keine Zusammenstöße zwischen Demonstranten und Beamten gegeben. Die Räumung erfolgte nach einer Drohung von Präsident Donald Trump, Bundespolizisten in die Stadt zu entsenden.

Die New Yorker Polizisten waren in Begleitung von Reinigungskräften und Anwälten, als sie in dem „Occupy City Hall“-Camp Zelte abbauten und rund 50 Demonstranten vertrieben. Das Lager war vor einem Monat im Zuge landesweiter Proteste gegen Polizeibrutalität entstanden. Auslöser der Proteste war der gewaltsame Tod des Afroamerikaners George Floyd bei einem Polizeieinsatz in Minneapolis Ende Mai.

Lesen Sie auch USA Oregon klagt gegen Einsatz militarisierter Sicherheitskräfte in Portland

In den vergangenen Wochen sei es in dem Camp immer weniger um die Proteste gegangen, sagte de Blasio. Stattdessen habe es sich „zunehmend zu einem Versammlungsort von Obdachlosen“ entwickelt. Mit dem Abklingen der Anti-Polizei-Proteste in New York hatte der Druck auf die Behörden zugenommen, das Lager aufzulösen und Graffiti an Statuen und nahe gelegenen städtischen Gebäuden zu entfernen.

Zudem drohte Trump mit der Entsendung von Bundespolizisten nach New York und in weitere von Politikern der Demokratischen Partei regierte Städte. Trump begründete dies mit einem vermeintlichen Zusammenbruch von Recht und Ordnung in diesen Städten. Der Gouverneur des Bundesstaates New York, Andrew Cuomo, hatte nach eigenen Angaben Trump darum gebeten, keine Bundespolizisten in die Stadt zu schicken. Er habe Trump versichert, alle notwendigen Maßnahmen zu ergreifen.","'Florian Sädler', 'Sandra Ward', 'Daniel Friedrich Sturm', 'Johannes Boie', 'Steffen Schwarzkopf'",1595449649,"Ausland,USA",welt
Polizei nimmt nach Großbrand in Kathedrale von Nantes Mann in Gewahrsam,"Anzeige

Nach dem Großbrand in der Kathedrale im westfranzösischen Nantes hat die Polizei einen Mann in Gewahrsam genommen. Der Mann sei für die Schließung der Kathedrale am Freitagabend verantwortlich gewesen, weshalb die Ermittler „bestimmte Aspekte seines Tagesablaufs“ klären wollten, sagte der Staatsanwalt Pierre Sennès der Nachrichtenagentur AFP am Sonntag. Aussagen dazu, ob der Mann an der mutmaßlichen Brandstiftung beteiligt gewesen sei, seien jedoch „verfrüht“, betonte er.

Die Ermittler waren bereits am Samstag dem Verdacht der Brandstiftung nachgegangen. Das Feuer brach an drei verschiedenen Stellen in dem Gotteshaus aus dem 16. Jahrhundert aus, wie die Staatsanwaltschaft von Nantes mitteilte. Die große Orgel in der gotischen Sankt-Peter-und-Paul-Kathedrale wurde nach Angaben der Feuerwehr wohl „vollständig zerstört“.

Die Feuerwehr war gegen 7.45 Uhr am Samstagmorgen von Passanten alarmiert worden,die Flammen hinter der Fensterrose des Gotteshauses sahen, wie die Feuerwehr mitteilte. Rund hundert Feuerwehrleute waren daraufhin im Einsatz und brachten den Brand nach etwa zwei Stunden unter Kontrolle. Auf Fernsehbildern war eine riesige schwarze Rauchwolke zu sehen, die zwischen den Türmen der Kathedrale im historischen Zentrum von Nantes aufstieg. Außer der Orgel wurden Kirchenfenster und Kunstobjekte durch den Brand zerstört.

An dieser Stelle finden Sie Inhalte aus Twitter Um mit Inhalten aus Twitter und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Anzeige

Staatsanwalt Pierre Sennès sagte, die drei Brandherde seien weit voneinander entfernt gewesen. Eine Stelle, an der Feuer ausbrach, sei bei der großen Orgel gewesen. Die Distanz zu den anderen Brandherden sei „fast die ganz Länge der Kathedrale“. Bei ersten Untersuchungen der Ermittler seien aber keine Einbruchspuren an den Zugängen gefunden worden.

Nach Angaben der Feuerwehr konzentriert sich der Schaden auf die große Orgel. Feuerwehrchef Laurent Ferlay sagte, mit dem Großbrand in der Pariser Kathedrale Notre-Dame im vergangenen Jahr sei das Feuer in der Peter-und-Paul-Kathedrale von Nantes nicht vergleichbar. Das Wahrzeichen der französischen Hauptstadt war bei einem verheerenden Brand im April 2019 schwer beschädigt worden und befindet sich seither im Wiederaufbau.

Lesen Sie auch Stéphane Bern Der Retter von Notre-Dame

Die Schäden seien auch nicht so enorm wie jene nach einem Großbrand in der Peter-und-Paul-Kathedrale vor 48 Jahren, sagte Ferlay weiter. Damals sei das Dach so schwer beschädigt worden, dass eine Beton-Bewehrung habe eingesetzt werden müssen. Die Renovierungsarbeiten an dem Gotteshaus dauerten 13 Jahre.

Anzeige

Frankreichs neuer Premierminister Jean Castex besuchte Nantes am Samstagnachmittag. Zunächst müssten die Ermittlungen geführt werden, sagte er. Dann gehe es um die „schnellstmögliche“ Renovierung, für die er die Unterstützung des Staates zusagte. Präsident Emmanuel Macron dankte den Feuerwehrleuten im Kurzbotschaftendienst Twitter für ihren Einsatz. Die Einsatzkräfte nähmen viele Risiken in Kauf, „um das gotische Juwel der Herzogen-Stadt zu retten“, schrieb Macron.

Lesen Sie auch Beschädigte Kathedrale Kulturkampf um Notre-Dame

Der Bau der Sankt-Peter-und-Paul-Kathedrale begann im Jahr 1434 und zog sich bis Ende des 19. Jahrhunderts hin. Die 63 Meter hohen Türme stammen aus dem frühen 16. Jahrhundert. 2015 hatte es bereits in einer anderen Kirche in Nantes gebrannt: Damals wurden Teile der Basilika Saint-Donatien aus dem 19. Jahrhundert zerstört. Die westfranzösische Großstadt hat insgesamt zwei Basiliken und eine Kathedrale.","'Daniel Friedrich Sturm', 'Hannes Stein'",1595143773,"Panorama,Frankreich",welt
Die Türkei schafft Tatsachen in Syrien,"Das internationale Hilfsprogramm für Syrien läuft am Freitag aus. China und Russland blockieren dringend benötigte Lieferungen im UN-Sicherheitsrat. Die Türkei nutzt die Notlage und pumpt Geld in das Bürgerkriegsland. Die Spur der Lira führt zu Islamisten.

Anzeige

Täglich rollen türkische Militärkonvois über die Grenze nach Syrien. Mannschaftswagen, Panzer, Luftabwehrgeschütze und Radargeräte. Alles, was die mächtige Armee des Nato-Mitgliedslands zu bieten hat. Seit Februar zählte der syrische Menschenrechtsbeobachter (SOHR) insgesamt 7715 Militärfahrzeuge, die Ankara allein nach Idlib schickte.

Die Provinz im Nordwesten des Landes ist die letzte Hochburg der syrischen Opposition, die die Türkei seit Beginn des Bürgerkriegs massiv unterstützt. „So Gott will, werden wir bald nach Damaskus gehen“, kündigte der türkische Präsident Recep Tayyip Erdogan bereits 2012 in einer gefeierten Rede an. Das Institut für Study of War schätzte im März die türkische Truppenstärke in Idlib auf 20.000 Mann in 46 Militärbasen. Mittlerweile dürften es weit mehr sein. Darüber gibt Ankara aber keine Auskunft.

Die Türkei rüstet nicht nur in Idlib auf, sondern auch in drei weiteren Gebieten, die sie zwischen 2016 und 2019 eroberte. Die Kurdenregion Afrin, und der Teil des Aleppo Gouvernements von Azaz bis Dscharablus. Hinzu kommt ein 30 Kilometer tiefer und 150 Kilometer langer Streifen in der kurdischen Autonomiezone im Nordosten Syriens. Angaben des European Council on Forgein Relation (ECFR) zufolge, leben damit rund vier Millionen Menschen unter türkischer Kontrolle.

Lesen Sie auch Libyen-Konflikt „Die Türkei zahlt jedem Söldner 2000 Dollar pro Monat“

Anzeige

Ankara rechtfertigt die Besetzung des Territoriums des Nachbarlandes mit dem „Kampf gegen Terrorismus“. Er richtet sich gegen die kurdische YPG-Miliz in Syrien. Sie hat Verbindungen zur Arbeiterpartei PKK, die seit vier Jahrzehnten um die Rechte der Kurden in der Türkei kämpft und dort verboten ist.

Aber der türkischen Regierung geht es um weit mehr. Der Kampf gegen Terrorismus ist nur ein Vorwand. Mit ihrem militärischen Aufmarsch setzt sich die Türkei in Nordsyrien weiter fest.

Während die Türkei Tatsachen schafft, droht die dringend benötigte internationale Hilfe für Syrien am Freitag auszulaufen. Im UN-Sicherheitsrat verhinderten Russland und China diese Woche eine deutsch-belgische Resolution zur Fortsetzung der Hilfslieferungen. Ihr Ziel: Humanitäre Güter sollen nur noch über einen Grenzübergang und damit über das Assad-Regime ins Land gehen. Das aber behält in der Regel den Hauptteil für sich. Es wäre eine Katastrophe, sollte es dabei bleiben.

Russland und China blockieren Syrien-Nothilfen Mit ihren Vetos im UN-Sicherheitsrat haben Russland und China eine Resolution für die Verlängerung von grenzüberschreitenden Hilfen für die Not leidende Bevölkerung im Nordwesten Syriens blockiert. Das UN-Hilfsprogramm von 2014 läuft nun aus. Quelle: WELT

Anzeige

Deutschland, das für einen Monat den Vorsitz des Sicherheitsrats innehat, bemüht sich fieberhaft um einen Kompromiss. Während die Diplomatie zu scheitern droht, setzt die Türkei ihre stille Annektion syrischer Gebiete fort. Auf allen Ebenen: Verwaltung, Wirtschaft, Bildungs- und Gesundheitswesen.

Die staatliche Post und türkische Universitäten haben bereits Ableger in Nordsyrien. Kinder lernen in den Schulen Türkisch. Die Lehrpläne stammen vom türkischen Ministerium für Erziehung. Auf renovierten Krankenhäusern weht nun die türkische Nationalflagge. Die lokale Verwaltung steht unter Kontrolle der Türkei.

Nächster Schritt: Im vergangenen Monat wurde nun die türkische Lira als Zahlungsmittel eingeführt. Offiziell, weil das syrische Pfund (SP) auf ein Rekordtief abgestürzt ist. Für die Türkei war das eher ein willkommener Anlass. Wo mit türkischem Geld bezahlt wird, könnte auch bald die Türkei sein.

Erdogan droht mit Migranten

Anzeige

Eine Annexion, die Ankara inzwischen offen rechtfertigt. Nordsyrien sei „Teil des türkischen Heimatlandes“, sagte der türkische Innenminister Sülayman Soylu bereits im Januar 2019. Der vermeintliche Bezug: Eine Entscheidung des letzten Parlaments des Osmanischen Reiches aus dem Jahr 1920. Nationalistische Großmachtträume vergangener Tage als, die heute die Außenpolitik Ankaras antreiben. Über ihre aggressive Strategie in Syrien ist die Türkei zum ‚regional player‘ aufgestiegen, an dem keiner vorbeikommt. Mittlerweile hat Ankara auch in Libyen zugunsten der international anerkannten Sarradsch-Regierung interveniert, sich dort eingenistet.

Lesen Sie auch Türkei Erdogan hat längst nicht mehr allein das Sagen

Erdogan wird das erdölreiche Land nicht so schnell verlassen. Auch hier gibt es einen historischen Vorwand. Libyen war eine der letzten Kolonien des Osmanischen Reiches. Der Türkei ist jedes Mittel recht, ihre Interessen durchsetzen. Auch die 3,6 Millionen syrischen Schutzsuchenden im Land. Erdogan droht Europa ständig mit neuen Wellen von Migranten nach Europa. Erst Anfang dieses Jahres hat er Zehntausende, trotz der Corona-Pandemie, an die griechische Grenze geschickt und eine Krise provoziert.

Mit der Präsenz in Libyen erhält die Türkei ein zusätzliches Machtinstrument. Der nordafrikanische Staat ist das Sammelbecken von Migranten aus aller Welt, die weiter in die EU wollen. Harte Kritik der EU am Kurs der Türkei ist selten. Vor der Androhung einer Flüchtlingswelle kuscht Europa. Umso überraschender ist die Stellungnahme der Bundesregierung von dieser Woche. Sie hat ungewöhnlich deutlich den Einmarsch in die Kurdenregion im Nordosten kritisiert.

Lesen Sie auch Politisches Chaos „Der Libanon wird das wohl nicht überleben. Das ist unser Untergang“

Im Oktober 2019 hatte die Türkei die dritte Invasion nach Syrien gestartet. Die „Operation Friedensquelle“ sollte die „terroristische YPG‘“ vernichten. Maria Flachsbarth (CDU), Staatssekretärin im Bundesentwicklungsministerium, antwortete auf eine Anfrage der Linken: „Aus Sicht der Bundesregierung ist die türkische Argumentation nicht zweifelsfrei. Hinsichtlich der „Operation Friedensquelle“ hat die Bundesregierung mitgeteilt, dass sie keine Gründe erkennen könne, die die Operation völkerrechtlich legitimieren würden.“

Gleichzeitig kündigte Flachsbarth an, dass Deutschland auf eigene Faust Hilfe leisten werde. In dem auch Rojava genannten Gebiet sollen„mehrere im Gesundheitsbereich tätige humanitäre Nichtregierungsorganisationen“ unterstützt werden. Eine Million Euro sollen für Covid-19-Maßnahmen überwiesen werden. Nicht viel, aber dringend benötigt. Durch den Verfall der syrischen Währung können sich viele Menschen schon jetzt kaum Brot leisten.

Ein türkischer Militärkonvoi durchquert eine Stadt im Nordwesten Syriens Quelle: AFP

Denn die türkische Lira als neues Zahlungsmittel hat die Misere in Nordsyrien bisher kaum gelindert. „Ich kenne viele, die Hunger haben“, erzählte Mohammed, ein junger Familienvater aus einem Flüchtlingslager in Idlib an der türkischen Grenze. „Alles ist so unglaublich teuer“, sagte er am Telefon. Für ihn und die meisten seiner Bekannten habe sich mit der türkischen Lira wenig geändert. „Man kann damit bezahlen, aber ich habe keine Lira.“

Die Spur des Geldes zeigt, wie Ankara mit Islamisten zusammen arbeitet. Auch die sogenannte „Heilsregierung“ Idlibs zahlt bereits ihre Gehälter an Angestellte und Kämpfer in Türkischen Lira aus. Wer nicht mitmacht, muss sich mit den fast wertlosen syrischen Pfund begnügen. „Es ist wahrscheinlich nur eine Frage der Zeit bis die Lira das Pfund endgültig ersetzt“, glaubt Mohammed.

Lesen Sie auch Trotz UN-Embargo Wie die Türkei illegal Waffen nach Libyen schmuggelt – und Deutschland zusieht

Anzeige

Die Heilsregierung Idlibs steht der radikal-islamistischen Hayat Tahrir al-Sham (HTS) nahe. Sie war früher Teil des Terrornetzwerks von al-Qaida. Heute herrscht HTS mit ultrakonservativer Hand über Idlib.

In den von der Türkei kontrollierten Gebiete ist es ähnlich: Frauen sind in der Öffentlichkeit nur in langen, schwarzen Niqabs zu sehen. Die Türkei legt großen Wert auf die ‚richtige‘ islamische Erziehung und die liegt in der Hand des türkischen Direktorats für islamische Angelegenheiten. Sie bezahlt Imame und führt religiöse Schulen.

Die meisten der liberaleren Kurden in der Region Afrin sind bereits während der türkischen Militärintervention 2018 geflohen. Ihre Rückkehr wäre für sie lebensgefährlich. Ihre Wohnung und Häuser haben die Milizen oft an arabische Familien verschenkt. Damit hat die Türkei die Ordnungsmacht in Afrin islamistischen Milizen der syrischen Opposition überlassen. Sie entführen, foltern, vergewaltigen und morden. Und der Westen schaut zu.",Alfred Hackensberger,1594364619,"Ausland,Aggressionen aus Ankara",welt
