title;text

Das neuartige Verfahren setzte sich in einem internen Votum knapp gegen  Alternativen wie die Maulkorbpflicht und die Einführung von Kettenhemden  durch. 


Biss einer weint

Wenn künftig der Verdacht einer Beiß-Attacke besteht, sieht die neue Regelung eine Spielunterbrechung von bis zu 15 Minuten vor, während derer ein zahntechnischer Abdruck von der Bisswunde sowie dem Gebiss des verdächtigten Spielers genommen wird. Stimmen beide überein, wird das Vergehen umgehend mit einer roten Karte geahndet. Einen deutlich unkomplizierteren Videobeweis vor Ort hält die FIFA aufgrund der neuen Technik nicht für notwendig. 
Bei Experten und Fans sorgte die Neuerung am Mittwoch für Irritationen. So wurde unter anderem bemängelt, dass notorische Beißer wie Suárez auch in Zukunft mit einfachen Maßnahmen wie dem vorsorglichen Ziehen aller Zähne ungestraft davonkommen könnten. Zudem sind derzeit noch nicht alle Spielstätten der Weltmeisterschaft technisch für die kurzfristige Umsetzung der Regelung ausgerüstet.
Laut FIFA müssen sich WM-Schiedsrichter deshalb noch mindestens bis zu den Halbfinalpartien in zwei Wochen im Zweifelsfall selbst in den Arm beißen lassen," um vor Ort einen Bissmustervergleich anzustellen. Idee: rli/lbe; Foto: AGIF / Shutterstock.com"""
"FIFA für gelungene Inklusion sehbehinderter Schiedsrichter gelobt;""Endlich gute Nachrichten für die FIFA: Der Fußball-Weltverband ist für seine erfolgreiche Antidiskriminierungspolitik gelobt worden. Besonders der Abbau von Berufsbarrieren für blinde und sehbehinderte Schiedsrichter wurde positiv hervorgehoben. In der Tat erreicht die Zahl der stark sichteingeschränkten Unparteiischen bei der WM 2014 einen neuen Höchststand"," den die Antidiskriminierungsstelle des Bundes als """"mustergültig"""" bezeichnet."

Allen voran zeigte sich Staatspräsidentin Dilma Rousseff von WM-Gastgeber Brasilien hocherfreut über das vorbildliche Engagement der FIFA.


Intolerant: Kroatische Spieler

Die bisherigen Spiele hätten gezeigt, dass auch Menschen mit deutlich reduzierter Sehschärfe und stark verengtem Wahrnehmungsfeld eine ganz normale Schiedsrichterleistung abliefern können. 
"Kritik an dem FIFA-Modell gab es lediglich vereinzelt. So soll ein Mitglied der kroatischen WM-Delegation den japanischen Schiedsrichter Yuichi Nishimura als """"Blindfisch"""" beschimpft haben. Gegen den Kroaten wird nun wegen diskriminierender Beleidigung und verbaler Herabsetzung von Menschen mit Sehbehinderung ein Disziplinarverfahren eingeleitet. "
Trotz des verheißungsvollen Starts will die FIFA auch weiterhin an ihrem Mentoring-Programm namens GoalControl festhalten. Dieses soll gehandicapten Schiedsrichtern Hilfestellung bei der Entscheidung geben, ob der Ball im Tor war oder nicht.
swo; Foto oben: © massimhokuto - Fotolia.com," Foto rechts: © dpa - picture alliance"""
"Sensationstransfer: Bastian Schweinsteiger wechselt für 41 Millionen Euro zu Spanien;""Spektakulärer Wechsel! Bastian Schweinsteiger (29) verlässt die Deutsche Nationalmannschaft mit sofortiger Wirkung und wird künftig im Trikot von Weltmeister Spanien auflaufen. Das bestätigte sowohl der DFB als auch der spanische Verband RFEF", die sich auf eine Ablösesumme von 41 Millionen Euro geeinigt haben. Schweinsteiger soll das zuletzt defensivschwache spanische Spiel verbessern und Impulse nach vorne setzen.

Kenner des spanischen Fußballs hatten bereits erwartet, dass sich der amtierende Weltmeister nach der krachenden 1:5-Niederlage gegen die niederländische Auswahl noch einmal verstärken würde. Schweinsteiger soll auf der Position des zuletzt eher schwächelnden Xavi spielen und dürfte am Mittwoch gegen Chile erstmals im Aufgebot der Spanier stehen.


