title;text
Trotz des Streits über das Binnenmarktgesetz laufen diese Woche wieder Verhandlungen über den anvisierten Handelspakt beider Seiten für die Zeit nach der Brexit-Übergangsphase.

"Großbritannien verlässt Ende des Jahres auch den EU-Binnenmarkt und die Zollunion. Ohne Anschlussvertrag droht ein harter wirtschaftlicher Bruch mit Zöllen und anderen Handelshürden."""
Diese Nacht soll klären, „wer hier die Wahrheit sagt“;
"Diese Zahlen wecken Zweifel an der Gefahr durch Reiserückkehrer;""„Wir wollen nicht wieder einen Shutdown für das ganze Land machen. Das muss auf jeden Fall verhindert werden“", hatte Bundeskanzlerin Angela Merkel nach den weitreichenden Corona-Beschlüssen der Bund-Länder-Konferenz am Dienstag erklärt: „Wir wollen die Wirtschaft am Laufen halten, so weit das geht unter den Bedingungen der Pandemie.“

Doch was aus Sicht der Bundesregierung nicht geht," ist offenbar Luftfahrt und Tourismus am Laufen zu halten. Nach Einschätzung von Verbänden und Analysten mutet die Politik mit der beschlossenen Einreisequarantäne der Reisebranche mit rund drei Millionen Arbeitsplätzen faktisch den zweiten Lockdown zu. Dabei sprechen die Zahlen eine andere Sprache."""
„Schmerz, wie wir ihn noch nie gefühlt haben“;
"Heute Auslosung – Das sind die Lostöpfe der Champions League;""Anzeige"

Titelverteidiger FC Bayern München, Borussia Dortmund, RB Leipzig und Borussia Mönchengladbach bekommen an diesem Donnerstag (ab 17.00 Uhr) in Genf ihre Gruppengegner in der Champions League zugelost. In Topf eins sind die Meister der sieben besten europäischen Ligen sowie der Europa-League-Sieger gesetzt. Die Töpfe zwei bis vier werden nach dem Uefa-Koeffizienten eingeteilt. Borussia Mönchengladbach gehört in der Wertung der Europäischen Fußball-Union zu den schwächsten Klubs der vergangenen Jahre – könnte also drei Spitzenvereine zugelost bekommen.

Die Bayern müssen sich zumindest auf einen sehr namhaften und starken Gegner aus Topf zwei einstellen. In diesem befinden sich etwa Manchester City, Manchester United, der FC Chelsea sowie die spanischen Topklubs FC Barcelona und Atlético Madrid.

Leipzig, immerhin Halbfinalist bei der vergangenen Champions-League-Ausgabe, befindet sich aufgrund des noch immer geringen Uefa-Koeffizienten, der sich aus vorherigen Teilnahmen und Resultaten in Champions und Europa League errechnet, lediglich in Lostopf drei. Damit drohen mindestens zwei harte Lose. Möglicherweise kommt es auch gleich zu einem Duell mit dem FC Chelsea, bei dem jetzt der ehemalige Leipziger Torjäger Timo Werner spielt.

An dieser Stelle finden Sie Inhalte aus Twitter Um mit Inhalten aus Twitter und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Anzeige

Dortmund könnte auf Ex-Trainer Jürgen Klopp vom FC Liverpool und Ex-Stürmer Ciro Immobile von Lazio Rom treffen.

Lesen Sie auch Ciro Immobile „Als ich kam, war in Dortmund die Luft raus“

Gezogen werden acht Vierergruppen mit jeweils einer Mannschaft aus den vier Töpfen. Deutsche Duelle in der Gruppenphase sind ausgeschlossen.

Saison beginnt am 20. Oktober

Gespielt wird am 20./21. und 27./28. Oktober, am 3./4. und 24./25. November sowie am 1./2. und 8./9. Dezember. Aufgrund der Corona-Pandemie kann es aber auch zu Spielverlegungen kommen. Die Uefa behält sich vor, die Gruppenphase bis zum 28. Januar zu verlängern. Kann aus „irgendwelchen Gründen“ die Gruppenphase nicht abgeschlossen werden, entscheidet zudem das Uefa-Exekutivkomitee über die Besetzung der K.-o.-Runde, hatte der Dachverband mitgeteilt. Das Finale in Istanbul ist für den 29. Mai 2021 terminiert.

Lesen Sie auch Lionel Messi Genervt von der eigenen Bedeutungslosigkeit

Anzeige

Die Lostöpfe im Überblick:

TOPF 1

FC Bayern München,

FC Sevilla

Real Madrid

FC Liverpool

Juventus Turin

Paris Saint-Germain

Zenit Sankt-Petersburg

FC Porto

TOPF 2

Borussia Dortmund

FC Barcelona

Atlético Madrid

Manchester City

Manchester United

Schachtjor Donezk

FC Chelsea

Ajax Amsterdam

TOPF 3

RB Leipzig

Dynamo Kiew

Red Bull Salzburg

Inter Mailand

Olympiakos, Piräus

Lazio Rom

FK Krasnodar

Atalanta Bergamo

TOPF 4

Borussia Mönchengladbach

Lokomotive Moskau

Olympique Marseille

Club Brügge

