title;text
Geiseldrama in Algerien endet mit mehr als 55 Toten;Mehr als 55 Tote sind die dramatische Bilanz des Geiseldramas in der Sahara, das die algerische Armee nach vier Tagen mit der Erstürmung der besetzten Erdgasanlage am Wochenende beendet hat. Die Zahl der bislang angenommenen 23 getöteten Geiseln werde wohl noch steigen, sagte Kommunikationsminister Mohammed Said am Sonntag der amtlichen Nachrichtenagentur APS. Unter den Opfern seien vermutlich bis zu sechs britische Staatsbürger, sagte Großbritanniens Premierminister David Cameron. Frankreich verteidigte den Einsatz der algerischen Armee, nachdem sich mehrere betroffene Regierungen verärgert darüber gezeigt hatten, dass sie vorab nicht darüber informiert worden waren. 107 ausländische und 685 algerische Geiseln überlebten nach Angaben der algerischen Regierung. Zu dem Überfall hat sich einem Pressebericht zufolge im Namen von Al-Kaida mittlerweile der Islamisten-Anführer Mochtar Belmochtar bekannt. Das gehe aus einem im Internet veröffentlichten Video hervor, meldete die mauretanische Nachrichten-Website Sahara Media. Die Informationen waren nicht überprüfbar, da das Video auf der Seite nicht gezeigt wurde. Belmochtar ist ein islamistischer Untergrundkämpfer, der schon gegen die sowjetischen Truppen in Afghanistan gekämpft hatte und der eine eigene Gruppe in der Sahara gebildet haben soll. Die Extremisten hatten sich seit Mittwoch in der Gasförderanlage mitten in der Sahara verschanzt. Sie forderten ein Ende des französischen Militäreinsatzes gegen islamistische Rebellen in Mali. Einen Tag später griff die algerische Armee ein, doch erst am Samstag konnten sie die Geiselnehmer endgültig überwältigen. Nach Berichten der amtlichen Nachrichtenagentur Algeriens APS begannen die Soldaten ihren Entscheidungsschlag, weil die Extremisten sieben weitere ausländische Geiseln getötet hätten. Der norwegische Energiekonzern Statoil, der zusammen mit der britischen BP und Algeriens staatlicher Ölfirma Sonatrach die Anlage betreibt, vermisst noch fünf norwegische Mitarbeiter. Auch der Verbleib von japanischen und amerikanischen Arbeitern ist noch unklar. Ein Amerikaner sei sicher ums Leben gekommen, hieß es. Die Armee habe mittlerweile 25 Leichen in der Anlage entdeckt, bei denen es sich vermutlich um Geiseln handele, berichtete der private algerische Fernsehsender Ennahar am Sonntag. FRANKREICH VERTEIDIGT ALGERIENS EINSATZ Für ihr gewaltsames Vorgehen, das international offenbar nicht abgestimmt war, erntete Algerien Kritik aus mehreren Ländern, darunter Japan. US-Präsident Barack Obama sagte am Samstag, die USA wollten von den algerischen Behörden genaue Informationen, was sich genau zugetragen habe. Die Schuld für die Tragödie liege aber bei den Terroristen, die sie verursacht hätten. Frankreichs Außenminister Laurent Fabius verteidigte das Vorgehen des nordafrikanischen Landes. Die Zahl der Todesopfer sei zwar “sehr hoch” gewesen, aber die Behörden hätten sich einer “untragbaren Situation” gegenüber gesehen. “Es ist leicht zu sagen, dass dies oder das hätte getan werden müssen”, sagte Fabius am Sonntag dem Radiosender Europe 1. “Sie hatten es mit Terroristen zu tun.” Auch Cameron betonte, Algerien habe Anerkennung für seinen Kampf gegen Islamisten verdient. Vor allem Frankreich ist bei seinem Militäreinsatz gegen Rebellen im Norden Malis auf die Unterstützung Algeriens angewiesen. Algerien hat Frankreich die Nutzung seines Luftraums sowie die Absicherung der 1000 Kilometer langen Grenze zu Mali zugesagt. DEUTSCHE NACH LONDON AUSGEFLOGEN Unter den Geiseln seien keine Deutschen gewesen, sagte Bundesaußenminister Guido Westerwelle am Sonntag in Berlin und zeigte sich zugleich bestürzt über die vielen Opfer. Die Tat zeige das grausame Gesicht des islamistischen Terrors. “Es sind keine Freiheitskämpfer, sondern es sind Terroristen, es sind Kriminelle, die auch vor dem Leben von Unschuldigen keinen Respekt haben”, sagte Westerwelle. Zwei deutsche Staatsangehörige, die im Gebiet von In Amenas für eine Bohrfirma gearbeitet hatten, seien glücklicherweise nicht als Geiseln genommen worden und in der Nacht zum Sonntag in London angekommen. Nach Angaben des algerischen Kommunikationsministers Said hatten die Extremisten sechs verschiedene Nationalitäten. Unter den 32 toten Islamisten sei vermutlich auch der Anführer, Abdul Rahman Al-Nigeri, ein Nigerianer, der Belmochtar nahe stand. Algerische Behörden vermuten, dass die Geiselnehmer unter den Hunderten algerischen Arbeitern der Anlage möglicherweise Verbündete hatten. Auch wenn die Extremisten die Verbindung zum französischen Militäreinsatz in Mali herstellten, gilt es als sehr wahrscheinlich, dass der Überfall auf die Gasförderanlage In Amenans bereits vor der französischen Intervention geplant wurde. Militante Gruppen haben bereits Millionen an Lösegelder durch Geiselnahmen in der Sahara erpresst. US-Verteidigungsminister Leon Panetta drohte unterdessen den Islamisten mit einem Eingreifen der Vereinigten Staaten. “Wir haben es zu unserer Sache gemacht, Al-Kaida zu verfolgen, wo auch immer sie sind und wo auch immer sie sich zu verstecken versuchen”, sagte er während eines London-Besuchs. “Wir haben das in Afghanistan getan, in Pakistan. Wir haben es in Somalia getan, im Jemen und wir werden es auch in Nordafrika tun.”
Video- Islamist Belmochtar bekennt sich zu Geiselnahme in Sahara;Zu dem Überfall auf eine algerische Erdgasstation in der Sahara hat sich einem Pressebericht zufolge im Namen der Al-Kaida der Islamisten-Anführer Mochtar Belmochtar bekannt. Das gehe aus einem im Internet veröffentlichten Video hervor, meldete die mauretanische Nachrichten-Website Sahara Media. Zugleich habe Belmochtar Verhandlungen mit Algerien und dem Westen angeboten, “vorausgesetzt sie beenden die Bombardierung malischer Muslime”. Auf der Seite von Sahara Media wurde das Video selbst nicht gezeigt. Die Informationen waren nicht überprüfbar. Bei dem Geiseldrama kamen mehr als 55 Menschen ums Leben, vermutlich mehr als 23 Geiseln und 32 Islamisten. Belmochtar ist ein islamistischer Untergrundkämpfer, der schon gegen die sowjetischen Truppen in Afghanistan gekämpft hatte. Er soll kürzlich eine eigene Gruppe in der Sahara gebildet habe, nachdem er sich mit anderen lokalen Anführern der Al-Kaida überworfen hatte.
EZB-Chefvolkswirt - Europas Wirtschaft schrumpft weiter;Die Europäische Zentralbank (EZB) rechnet mit einem weiteren Rückgang der Wirtschaftsleistung in Europa, ist zugleich aber Sorgen vor einem kräftigen Anstieg der Verbraucherpreise in Deutschland entgegengetreten. “Leider sind wir immer noch in einer Phase, in der die Wirtschaft in Europa schrumpft”, sagte EZB-Chefvolkswirt Peter Praet der “Frankfurter Allgemeinen Sonntagszeitung”. “Es gibt positive Anzeichen, aber es ist noch nicht entschieden, dass wir uns am Wendepunkt zum Guten befinden.” Vier Prozent Inflation im Jahr 2014 - wie von manchen Kritikern der EZB-Geldpolitik befürchtet - seien in Deutschland allerdings kaum vorstellbar, betonte Praet. Im Ringen um eine Lösung der Euro-Krise forderte Praet die Regierungen auf, Konstruktionsfehler der Wirtschafts- und Währungsunion zu beheben. Nötig seien weitere Strukturreformen. “Die EZB hat ihre Rolle gespielt”, sagte Praet. “Dadurch wurde Zeit gewonnen. Aber das ist nicht genug.” Auch Bundesbankpräsident Jens Weidmann betonte, Zentralbanken dürften nicht als die einzig fähigen Krisenmanager angesehen werden. Diese Auffassung sei “falsch und gefährlich”, sagte er der finnischen Zeitung “Helsingin Sanomat”. Zugleich bekräftigte Weidmann seine Kritik am Kurs der EZB, notfalls unbegrenzt Anleihen zu kaufen. Auch Kritiker wie die US-Investmentbank Goldman Sachs halten die Geldpolitik der EZB für zu locker und rechnen mit einem Anstieg der Teuerungsrate in Deutschland auf bis zu fünf Prozent. Andere Experten stellen sich mittelfristig sogar auf Inflationsraten von fünf oder sechs Prozent ein. Die EZB hat ihren Leitzins wegen der Rezession in vielen Euro-Ländern auf das Rekordtief von 0,75 Prozent gesenkt und Hunderte Milliarden Euro durch den Kauf von Staatsanleihen in die Wirtschaft gepumpt. Goldman Sachs sieht darin die Gefahr einer Überhitzung der hiesigen Konjunktur. 2012 zogen die Verbraucherpreise in Deutschland um 2,0 Prozent an, für dieses Jahr sagt die Bundesbank 1,5 Prozent voraus. Die EZB spricht bei Werten von knapp zwei Prozent von Preisstabilität. Sie geht davon aus, dass die Inflation dieses Jahr auch in der Euro-Zone wieder unter diese magische Grenze sinken wird, nachdem sie im November und Dezember mit 2,2 Prozent etwas darüber lag.
Boeing stoppt Auslieferung der Dreamliner;Nach der Pannenserie beim Dreamliner hat Boeing die Reißleine gezogen und die Auslieferung der Maschinen gestoppt. Die Produktion des Langstreckenflugzeugs werde aber fortgesetzt, sagte Unternehmenssprecher Marc Birtel am Wochenende. Weltweit hatten Behörden die 50 bereits ausgelieferten 787-Jets wegen Batterie-Problemen aus dem Verkehr gezogen. Boeing will erst wieder Dreamliner ausliefern, wenn die US-Luftfahrtbehörde FAA die Sicherheit der eingesetzten und in die Kritik geratenen Lithium-Ionen-Batterien bescheinigt. Der Brand einer Batterie hatte am Mittwoch eine 787-Maschine der japanischen Fluggesellschaft All Nippon Airways (ANA) zu einer Notlandung gezwungen. Fachleute der FAA, der US-Behörde für Verkehrssicherheit (NTSB) und Boeing-Mitarbeiter unterstützten die japanischen Experten bei den Untersuchungen. Eine zu hohe Spannung könnte die Batterie überhitzt und zum Austritt von Flüssigkeit geführt haben, sagte ein japanischer Sicherheitsexperte am Flughafen in Takamatsu, wo die ANA-Maschine notgelandet war. Bilder der Batterie zeigten eine ausgebrannte blaue Metallbox. VERKOHLTER AKKU Die verkohlte Batterie soll nun für weitere Untersuchungen nach Tokio geschickt werden, teilte die japanische Behörde für Verkehrssicherheit mit. Innerhalb der nächsten Woche solle ein Bericht über die Ergebnisse veröffentlicht werden. Die Untersuchungen der US-Behörden könnte allerdings mehr Zeit in Anspruch nehmen. Die US-Behörde NTSB schloss am Sonntag jedoch eine zu hohe Spannung als Ursache für die Explosion einer Batterie in einer geparkten 787-Maschine am Bostoner Flughafen Anfang Januar aus. Darauf deute die Auswertung des Flugschreibers hin 787-Maschinen würden nicht fliegen, bevor die Aufseher nicht “zu Tausend Prozent” von der Sicherheit der hochmodernen Karbon-Flieger überzeugt seien, betonte US-Verkehrsminister Ray LaHood. LaHood wollte sich vor dem Wochenende aber nicht auf einen Zeitplan festlegen. Bei seinem Prestige-Flugzeug hatte der Airbus-Rivale in den vergangenen Tagen neben dem Batteriebrand auch mit zwei Treibstofflecks, einem Kabelproblem, Bremsstörungen und einem zersprungenen Cockpit-Fenster für Negativ-Schlagzeilen gesorgt. Die gravierendsten Sicherheitsbedenken richten sich mittlerweile aber auf den Einsatz der modernen Lithium-Ionen-Batterien, die leichter und leistungsstärker als herkömmliche Modelle sind, sich aber auch schneller entzünden können. Japan ist bisher der größte Markt für den Dreamliner - die beiden dort führenden Fluggesellschaften ANA und Japan Airlines haben etwa die Hälfte der Langstreckenflieger im Dienst. ANA sagte bis Montag mehr als 60 Flüge ab, JAL strich bis zum 25. Januar acht Flüge auf der Strecke Tokio-San Diego. Auf weiteren Routen sollen ältere Modelle den Dreamliner ersetzen. KEINE SCHADENFREUDE BEIM RIVALEN Beim Erz-Konkurrenten EADS ruft die Pannenserie von Boeing keine Schadenfreude hervor. “Anlaufprobleme kennen wir schließlich auch zur Genüge”, sagte EADS-Chef Tom Enders dem “Spiegel”. “Wir werden sicherlich bei unserem neuen Langstreckenflugzeug A350 auch noch die eine oder andere unangenehme Überraschung erleben”, sagte der Chef der Airbus-Mutter weiter. “Ich wünsche unseren Kollegen, dass sie den Dreamliner rasch wieder in die Luft bekommen. Mit unserer A330 und auch mit der A350 werden wir ihm das Leben dort schwer genug machen.”
Deutsche Bank hält an Nahrungsmittel-Spekulation fest;Die Deutsche Bank will trotz Kritik von Verbraucherschützern auch künftig mit Nahrungsmittel-Spekulationen Geld verdienen. Untersuchungen hätten kaum stichhaltige Belege für einen Zusammenhang dieser Geschäfte mit dem Hunger in der Welt erbracht, sagte Co-Vorstandschef Jürgen Fitschen am Samstag auf der Lebensmittelmesse “Grüne Woche” in Berlin. Im Gegenteil: Agrar-Derivate erfüllten für Nahrungsmittelproduzenten eine wichtige Funktion im weltweiten Handel. Mit dem Kauf dieser an Börsen gehandelten Papiere können sich Landwirte gegen fallende Preise absichern und ihr Angebot besser planen. “Deshalb hat die Deutsche Bank entschieden, dass sie im Interesse ihrer Kunden weiterhin Finanzinstrumente auf Agrarprodukte anbieten wird”, sagte Fitschen. Im März 2012 hatte das Institut entschieden, vorerst keine neuen Anlageprodukte auf Grundnahrungsmittel zu verkaufen, um die Ergebnisse der Untersuchung abzuwarten. Die Verbraucherschützer der Organisation Foodwatch reagierten umgehend mit harscher Kritik. “Die Deutsche Bank handelt mit dieser Entscheidung wieder einmal in hohem Maße unverantwortlich”, sagte Foodwatch-Gründer Thilo Bode der Nachrichtenagentur Reuters. “Es gibt ausreichend wissenschaftliche Erkenntnisse und praktische Belege dafür, dass die von der Deutschen Bank vertriebenen Finanzprodukte zu spekulativen Preisblasen auf den Terminmärkten für Agrarrohstoffe führen und damit Hungerkatastrophen auslösen können.” Die Bank bleibe den Nachweis schuldig, dass ihre Produkte unschädlich seien. “Die Deutsche Bank macht sich wissentlich mitschuldig an Hungerkrisen in den ärmsten Ländern der Welt”, forcierte die Organisation ihre Kritik am Sonntag. Der finanzpolitische Sprecher der Grünen-Bundestagsfraktion, Gerhard Schick, stimmte in die Kritik ein. “Es ist eine klare Fehlentscheidung des Vorstands der Deutschen Bank, dass die groß angekündigte Untersuchung keinerlei Veränderung in der Geschäftspolitik der Deutschen Bank zur Folge hat”, erklärte er am Sonntag. “Offenbar braucht es auch beim Thema Agrarspekulationen gesetzliche Regelungen, weil die Branche von sich aus nicht zu einer systematischen Verhaltensänderung fähig ist”, drohte er. DEUTSCHE BANK - SPEKULANTEN SIND UNVERZICHTBAR Ob Spekulationen mit Nahrungsmitteln die Preise für die Produkte in armen Ländern nach oben treiben, ist in der Wissenschaft allerdings umstritten. Eine Übersicht der Martin-Luther-Universität Halle-Wittenberg über die Forschungsarbeiten zu dem Thema kommt zu dem Schluss, dass die Zunahme der Finanzspekulationen nicht zu einem höheren Preisniveau bei Agrarprodukten geführt habe. Auch die Schwankungen der Preise seien hierauf nicht zurückzuführen. Dafür seien eher realwirtschaftliche Faktoren verantwortlich. Die Deutsche Bank machte für den Hunger vor allem verantwortlich, dass die Nachfrage nach Nahrungsmitteln das Angebot übersteige, und verteidigte Investoren, die ohne Interesse am eigentlichen Handelsgut mit Rohstoffen spekulierten. “Spekulativ ausgerichtete Anleger sind unverzichtbar für das Funktionieren von Rohstoffmärkten”, erklärte das Geldhaus. Ohne sie sei nicht das nötige Geld in dem Markt, an dem sich Lebensmittel-Produzenten und -Verarbeiter gegen Preisschwankungen absicherten. Es gebe keine schlüssigen Beweise, dass die Spekulanten die Preise exzessiv nach oben trieben. Für einen funktionierenden Markt sei es dagegen gut, wenn es mehr Marktteilnehmer gebe. MIT NAHRUNGSMITTELN KANN PROFIT GEMACHT WERDEN Für die Deutsche Bank zählt der Rohstoffhandel zu den Wachstumssegmenten im Kapitalmarktgeschäft. “Hier wird seit einigen Jahren kräftig Gas gegeben”, sagt ein Banker. Speziell im Nahrungsmittelgeschäft würden ordentliche Renditen erzielt. Für Kritiker ist das auch der Hauptgrund, warum die Deutsche Bank trotz möglicher Imageschäden an dem umstrittenen Geschäft festhält. “Die Investmentbanker wollen sich diese Wachstumsstory nicht wegnehmen lassen”, sagt ein weiterer Insider. Die Bank äußerte sich nicht zum Volumen ihrer Geschäfte, wozu Kredite an Landwirte, Handelsunternehmen und Nahrungsmittelproduzenten ebenso zählen wie Absicherungspapiere für Agrarrohstoffe, die an der Börse gehandelt werden können. Auch die Allianz ist in dem Geschäft aktiv. Die Commerzbank, die Deka und die LBBW sind dagegen ausgestiegen - bei ihnen spielte das Geschäft keine große Rolle. Die Landwirtschaftliche Rentenbank hat dagegen eine Lanze für derartige Spekulationen gebrochen. Die Vorteile für die Produzenten von Weizen, Kakao oder anderen Agrargütern seien höher zu bewerten als die Verwerfungen an den Märkten durch den Handel mit Derivaten auf diese Produkte, erklärte Horst Reinhardt, Vorstand der zweitgrößten deutschen Förderbank vergangenes Jahr. Die Allianz hatte bereits Anfang des Jahres erklärt, dass sie sich wegen Termingeschäften mit Lebensmitteln zu Unrecht am Pranger sieht. Solche Spekulationen seien nicht die Ursache für Hunger und Armut, erklärte die Versicherung unter Berufung auf Studien. “Die Wissenschaftler führen die starken Preissteigerungen der letzten Jahre stattdessen auf ein Zusammenwirken verschiedener realwirtschaftlicher Faktoren zurück. Hierzu zählen die steigende Nachfrage nach Lebensmitteln in Schwellenländern, das Abschmelzen der Lagerbestände, die Subventionierung von Bio-Energie sowie staatliche Eingriffe, etwa Exportverbote”, erklärte der Versicherer. “Als Finanzinvestoren greifen wir selber nicht in den realen Handel mit Lebensmitteln ein. Wir entziehen dem Markt keine Rohstoffe.”
Bilanzbetrug bei China-Sparte wird für Caterpillar teuer;Der weltgrößte Baumaschinenhersteller Caterpillar muss mehr als eine halbe Milliarde Dollar wegen eines Bilanzskandals bei einer erst im vorigen Sommer gekauften China-Sparte abschreiben. Im vierten Quartal sei eine Wertberichtigung über 580 Millionen Dollar beziehungsweise 87 Cent je Aktie nötig geworden, teilte Caterpillar am Freitagabend mit. Der Betrug dürfte rund die Hälfte des Konzernsgewinns in diesem Zeitraum auffressen. Denn Analysten hatten für das Schlussquartal mit einem Ergebnis je Aktie von 1,70 Dollar gerechnet. Seine Zahlen legt das Unternehmen am 28. Januar vor. Zugleich muss Caterpillar damit fast das gesamte Volumen der rund 650 Millionen Dollar schweren Übernahme des Bergbauausrüster ERA Mining abschreiben. Der Bilanzbetrug wurde bei der ERA-Tochter Siwei aufgedeckt. Im November seien Diskrepanzen zwischen den Lagerbeständen und den Zahlen in den Büchern aufgefallen, erklärte Caterpillar. Untersuchungen hätten daraufhin ergeben, dass sich mehrere hochrangige Siwei-Manager vorsätzlich und bereits Jahre vor dem Kauf durch Caterpillar des Bilanzbetrugs schuldig gemacht hätten. Mehrere Manager seien inzwischen entlassen worden. Der Vorfall dürfte Zweifel von Investoren an der Unternehmensführung in China weiter wachsen lassen. Caterpillar will aber dennoch an dem Ausbau seines China-Geschäfts festhalten.
Magazin - Osram will sich bis 2015 in Gewinnzone sparen;Der verlustreiche Leuchtenhersteller Osram will in zwei Jahren einem Magazinbericht zufolge wieder Gewinne schreiben. 2015 wolle die noch zu Siemens gehörende Osram 512 Millionen Euro Gewinn vor Steuern einfahren, berichtete die “Wirtschaftswoche” am Wochenende unter Berufung auf interne Unternehmenspläne. Grundlage der Gewinnpläne sei ein hartes Sparprogramm. Insgesamt wolle das Unternehmen 8000 der weltweit 39.000 Jobs streichen, davon 1800 in Deutschland. 400 Arbeitsplätze habe Osram in Deutschland schon abgebaut. Insgesamt wolle Osram in den nächsten zwei Jahren rund ein Drittel der weltweit 39 Standorte schließen, habe ein Insider dem Magazin gesagt. Ein Osram-Sprecher sagte, die von dem Magazin genannten Zahlen zum Stellenabbau seien nicht korrekt. Basis der Berechnungen seien 41.000 Beschäftigte. In Deutschland sei ein Abbau von 1400 Jobs vorgesehen. Bislang seien hier 300 Stellen weggefallen. Zu den Geschäftsaussichten verwies der Sprecher auf den im Dezember veröffentlichten Abspaltungsbericht. “Über dieses Dokument hinaus kommentieren wir keine in die Zukunft gerichteten Aussagen”, sagte der Sprecher. Dort heißt es, hohe Kosten hielten Osram auch 2013 im Minus, das aber geringer als im Vorjahr ausfallen soll. Im Geschäftsjahr 2012 verzeichnete Osram einen Verlust nach Steuern von 378,3 Millionen Euro. OPFER DES WANDELS Osram hatte bereits vor einem Jahr mit dem Betriebsrat den Abbau von 1000 Stellen in Deutschland vereinbart und dies mit dem “technologischen Wandel im Lichtmarkt” begründet. Weltweit hat Osram im vergangenen Jahr 1900 Jobs abgebaut. Im Dezember kündigte der Glühlampenhersteller dann “zusätzliche Anpassungen” an. “Diese zusätzlich beabsichtigten Maßnahmen sehen in den Geschäftsjahren 2013 und 2014 weltweit voraussichtlich einen weiteren Stellenabbau von insgesamt ca. 4700 Stellen vor”, hieß es. Vor allem im Ausland wolle Osram Werke verkaufen. Am Mittwoch will die Siemens-Hauptversammlung die Trennung von Osram beschließen. Die Aktionäre sollen die große Mehrheit der Osram-Anteile bekommen. Siemens will angesichts der ungewissen Zukunftsaussichten nicht mehr in die Leuchtmitteltochter investieren. Zum Abschied ließ die Mutter für Osram nochmals 700 Millionen Euro springen - damit sich der Traditionshersteller sanieren kann und Geld für Abfindungen hat. Allein die Osram-Trennung kostet Siemens 1,4 Milliarden Euro. Sollte es keine Anfechtungsklagen geben, könnte die Osram-Aktie am 18. April erstmals an der Börse gehandelt werden, meldete die “Wirtschaftswoche” weiter. Doch ob die frischgebackenen Osram-Aktionäre lange Freude an ihrem Präsent haben werden, ist offen. Wegen der harten asiatischen Konkurrenz sehen Experten für den Leuchtmittelhersteller finstere Zeiten anbrechen. Siemens hat Kreisen zufolge zudem Mühe, externe Aufsichtsräte für die Firma zu finden. Um einen Kurssturz während der ersten Handelstage zu vermeiden, baut Konzernfinanzchef Joe Kaeser vor. Fünf Banken sollen Osram-Chef Wolfgang Dehen auf Investorentour begleiten und potenziell überschüssige Titel unters Fondsvolk bringen, wie es aus Finanzkreisen heißt. Viele Anleger könnten die Titel zügig wieder verkaufen, etwa weil sie nur in Dax-Papiere investieren dürfen.
Japans Regierung und Notenbank vor Einigung in Geldpolitik;Im Kampf gegen die Wirtschaftsflaute in Japan sind Regierung und Notenbank einer Einigung auf ein neues Konzept für die Geldpolitik nähergekommen. Beide Seiten hätten sich aufeinander zu bewegt, sagte Wirtschaftsminister Akira Amari am Sonntag. Es sei nötig, dass sich Regierung und Notenbank gemeinsame Ziele wie etwa bei der Inflation setzten und ihre Zusammenarbeit ausbauten. Details nannte er nicht. Die Regierung hatte die Notenbank zuletzt dazu gedrängt, ihr Inflationsziel auf zwei Prozent zu verdoppeln und ihr Mandat auch auf die Förderung des Arbeitsmarktes auszudehnen. Von mit den Plänen vertrauten Personen verlautete in der vorigen Woche, dass Regierung und Zentralbank sich bereits auf die Verdoppelung des Inflationsziel auf zwei Prozent geeinigt hätten. Die Währungshüter sollen diese Marke auf ihrer Sitzung am Montag und Dienstag beschließen. Den Kreisen zufolge werde die Notenbank dann auch erwägen, ihr Programm zum Ankauf von Staatsanleihen des hoch verschuldeten Landes solange laufen zu lassen, bis das neue Ziel in Sicht sei. Die jüngsten Überlegungen in Japan signalisieren, dass das Land unter seinem neuen Regierungschef Shinzo Abe trotz einer Rekord-Verschuldung von über 230 Prozent der jährlichen Wirtschaftsleistung und eines niedrigen Leitzinses von 0,1 Prozent noch stärker auf eine expansive Finanz- und Geldpolitik setzt. Bundesfinanzminister Wolfgang Schäuble hat sich zuletzt bereits besorgt über diesen Kurs geäußert.
In Niedersachsen zeichnet sich mäßige Wahlbeteiligung ab;Bei der Landtagswahl in Niedersachsen zeichnete sich am Sonntag eine mäßige Wahlbeteiligung ab. Bis zum Mittag hätten 23,03 Prozent der Wahlberechtigten ihre Stimme abgegeben, teilte die Landeswahlleiterin in Hannover mit. Vor fünf Jahren waren es zu diesem Zeitpunkt 22,65 Prozent. Damals hatten am Ende 57,1 Prozent der Berechtigten gewählt, das war die niedrigste Wahlbeteiligung in der Geschichte des Landes. Rund 6,2 Millionen Niedersachsen können noch bis 18.00 Uhr ihre Stimme abgeben. Mit ersten Ergebnissen ist kurz nach Schließung der Wahllokale zu rechnen. Meinungsforscher sagen ein Kopf-an-Kopf-Rennen zwischen den Lagern Schwarz-Gelb und Rot-Grün voraus. Offen ist, ob die FDP den Wiedereinzug in den Landtag schafft und Ministerpräsident David McAllister (CDU) damit seine schwarz-gelbe Koalition fortsetzen kann. Der Spitzenkandidat der SPD, Stephan Weil, hat sich für ein Bündnis mit den Grünen ausgesprochen. “Ich bin zuversichtlich, aber ich weiß auch, das wird ein ganz, ganz knappes Rennen”, sagte Weil bei der Stimmabgabe in Hannover. Die FDP hatte zuletzt in den Umfragen auf fünf Prozent zugelegt und könnte damit knapp wieder in den Landtag einziehen. Linkspartei und Piratenpartei dürften an der Fünf-Prozent-Hürde scheitern. Vom Ergebnis der FDP in Niedersachsen hängt auch die politische Zukunft von FDP-Chef Philipp Rösler ab, der zuletzt aus den eigenen Reihen immer mehr unter Druck geriet. Die Landtagswahl gilt zudem als Stimmungsbarometer für die Bundestagswahl im September. Sie könnte auch die Mehrheitsverhältnisse in der Länderkammer zum Nachteil der Union verschieben. Sollten Sozialdemokraten und Grüne in Hannover eine Regierung bilden, gäbe es im Bundesrat erstmals seit 1998 eine eigene Mehrheit der nur von SPD, Grünen und Linkspartei regierten Länder. Bei der Landtagswahl 2008 kam die CDU auf 42,5 Prozent der Stimmen. Die SPD erhielt mit 30,3 Prozent ihr schlechtestes Ergebnis in dem Land. Auf die FDP entfielen 8,2 Prozent, auf die Grünen 8,0 Prozent. Die Linkspartei bekam vor fünf Jahren 7,1 Prozent der Stimmen.
Berichte - Air Berlin verlangt Gehaltsverzicht;Die Mitarbeiter von Air Berlin sollen Medienberichten zufolge auf Teile ihres Gehalts verzichten. Deutschlands zweitgrößte Fluggesellschaft verlange das als Beitrag zur Sanierung, berichteten “Focus” und “Spiegel” am Wochenende. Die Gehälter des Vorstands sollten nach den Vorstellungen des neuen Unternehmenschefs Wolfgang Prock-Schauer um zehn Prozent, die der rund 9300 Beschäftigten um fünf Prozent gekürzt werden. Dem Wunsch der Geschäftsführung nach Lohnkürzung müssten die Arbeitnehmervertreter zustimmen. Gemeinsam mit dem kürzlich angekündigten Jobabbau will die Airline, die seit Jahren rote Zahlen schreibt, so 40 Millionen Euro sparen. Dies wäre ein Zehntel der Summe, die im Rahmen des neuen Sanierungsprogramms bis Ende 2014 zusammenkommen soll. Air Berlin wollte sich zu den Berichten nicht äußern und erklärte lediglich, das Sparprogramm “Turbine” enthalte eine Vielzahl von Maßnahmen, um die Fluggesellschaft in die Gewinnzone zu führen. “Die Unternehmensleitung ist dazu in konstruktivem Dialog mit den Mitarbeitervertretungen. Wir haben nicht die Absicht, diesen Dialog über die Medien zu führen”, teilte eine Sprecherin am Samstag mit. Eine weitere Sparmaßnahme betrifft “Focus” zufolge den Standort Düsseldorf. Dort werde es künftig keine “große Wartung” der Flugzeuge mehr geben. Diese umfangreiche, turnusmäßig fällige Untersuchung solle künftig ausschließlich in München durchgeführt werden. Betroffen seien etwa 100 Mitarbeiter. Nach einer übereilten Expansion und hohen Verlusten befindet sich Air Berlin schon seit geraumer Zeit auf Sanierungskurs. Zuletzt hatte die Airline 2007 einen Jahresgewinn eingeflogen. JEDER ZEHNTE JOB WEG - NEUER CHEF FACKELT NICHT LANGE Kurz nach seinem Amtsantritt hatte der neue Airline-Chef Prock-Schauer vergangene Woche Ernst gemacht: Er streicht jede zehnte Stelle. 900 der 9300 Arbeitsplätze fallen weg, betriebsbedingte Kündigungen sind nicht ausgeschlossen. Betroffen sind Mitarbeiter in allen Unternehmensbereichen - sowohl Piloten und Flugbegleiter als auch die Angestellten am Boden und in der Verwaltung. Bis Ende 2014 will die Airline die Kosten um insgesamt 400 Millionen Euro senken. Nach einer übereilten Expansion und hohen Verlusten befindet sich Air Berlin schon seit einiger Zeit in einer harten Sanierung. Zuletzt hatte die Airline 2007 einen Jahresüberschuss eingeflogen. Prock-Schauers Vorgänger Hartmut Mehdorn hatte kürzlich die Flinte ins Korn geworfen. Sein Nachfolger soll nun das harte Sparprogramm “Turbine” durchboxen. Air Berlin will sich auf seine Kernmärkte Deutschland, Österreich und die Schweiz und auf profitable Strecken konzentrieren. Die Drehkreuze Berlin und Düsseldorf sollten ausgebaut und die Zahl der Flüge nach Mallorca erhöht werden. Einschnitte macht Air Berlin bei seiner Flotte. Die Zahl der Flugzeug solle im Vergleich zu Ende September um 16 auf 142 sinken. Auf dem Höhepunkt seiner Expansionsstrategie zählte der Lufthansa-Konkurrent knapp 180 Maschinen.
