title;text






Im vergangenen Sommer erklärte der Prinz, er wolle ohne den entsprechenden Titel auch nicht neben seiner Frau, der Königin, begraben werden. Bei dieser Entscheidung sollte es nach Angaben des Palasts auch nach der Demenz-Diagnose bleiben.     (c) APA/AFP/SCANPIX DENMARK/HENNING BAGGER (HENNING BAGGER)






Die meisten öffentlichen Aufgaben gab Henrik bereits 2016 ab. Damals legte er auch den immer ungeliebten Titel Prinzgemahl nieder.(c) APA/AFP/DYLAN CALVES (DYLAN CALVES)






Schon im vergangenen Jahr hatte der in Frankreich geborene Prinz mehrmals ins Krankenhaus kommen müssen.(c) AP (Paul Sakuma)






Im September hatte das Königshaus dann mitgeteilt, der 83-Jährige leide an Demenz. Seitdem war er öffentlich kaum noch aufgetreten.(c) APA/AFP/JEAN-LOUP GAUTREAU (JEAN-LOUP GAUTREAU)






Mehr Bilder aus seinem Leben...(c) APA/AFP/SCANPIX/PALLE HEDEMANN (PALLE HEDEMANN)






(c) APA/AFP/JONATHAN NACKSTRAND (JONATHAN NACKSTRAND)






(c) APA/AFP/Scanpix Denmark/MARIE HALD (MARIE HALD)












(c) AP (Mikkel Berg Pedersen)






(c) EPA (Henning Bagger)






(c) EPA (FRANK MAY)






(c) EPA (KELD NAVNTOFT)






(c) EPA (KELD NAVNTOFT)






(c) EPA (STEEN EVALD)



