title;text


(c) APA/EPA/PETE SOUZA / THE WHITE HOUSE / HANDOUT (PETE SOUZA / THE WHITE HOUSE / HANDOUT)






(c) EPA (PETE SOUZA / THE WHITE HOUSE / HANDOUT)






(c) EPA (PETE SOUZA / THE WHITE HOUSE / HANDOUT)






(c) EPA (PETE SOUZA / THE WHITE HOUSE / HANDOUT)






(c) EPA (PETE SOUZA)






(c) EPA (PETE SOUZA)












(c) AP (Pete Souza)






(c) EPA (PETE SOUZA / HANDOUT)






(c) AP (Pete Souza)






(c) dapd (Pete Souza)






(c) EPA (PETE SOUZA / WHITE HOUSE HANDOUT)






(c) EPA (PETE SOUZA / WHITE HOUSE HANDOUT)






(c) AP (Pete Souza)






(c) EPA (PETE SOUZA / WHITE HOUSE HANDOUT)
