title;text

Schon im vergangenen Jahr hatte der in Frankreich geborene Prinz mehrmals ins Krankenhaus kommen müssen.(c) AP (Paul Sakuma)






Im September hatte das Königshaus dann mitgeteilt, der 83-Jährige leide an Demenz. Seitdem war er öffentlich kaum noch aufgetreten.(c) APA/AFP/JEAN-LOUP GAUTREAU (JEAN-LOUP GAUTREAU)






Mehr Bilder aus seinem Leben...(c) APA/AFP/SCANPIX/PALLE HEDEMANN (PALLE HEDEMANN)






(c) APA/AFP/JONATHAN NACKSTRAND (JONATHAN NACKSTRAND)






(c) APA/AFP/Scanpix Denmark/MARIE HALD (MARIE HALD)












(c) AP (Mikkel Berg Pedersen)






(c) EPA (Henning Bagger)






(c) EPA (FRANK MAY)






(c) EPA (KELD NAVNTOFT)






(c) EPA (KELD NAVNTOFT)






(c) EPA (STEEN EVALD)






(c) AP (REMY GABALDA)






(c) AP (HERIBERT PROEPPER)






(c) AP (CHRISTOPHE ENA)

