title;text

(c) AP (Christophe Ena)






(c) APA/AFP/MARTIN BERNETTI (MARTIN BERNETTI)






(c) APA/AFP/MARTIN BERNETTI (MARTIN BERNETTI)






(c) APA/AFP/JAVIER SORIANO (JAVIER SORIANO)






(c) APA/AFP/FABRICE COFFRINI (FABRICE COFFRINI)












(c) APA/AFP/JAVIER SORIANO (JAVIER SORIANO)






(c) APA/AFP/JAVIER SORIANO (JAVIER SORIANO)






(c) APA/AFP/MARTIN BERNETTI (MARTIN BERNETTI)






(c) APA/HANS KLAUS TECHT (HANS KLAUS TECHT)






(c) APA/AFP/JAVIER SORIANO (JAVIER SORIANO)






(c) APA/HANS KLAUS TECHT (HANS KLAUS TECHT)






(c) APA/AFP/JAVIER SORIANO (JAVIER SORIANO)




1/20








            @media screen and (max-width: 699px){
                .diashow-pseudo-enlarge{
