title,text,author,published,tags,source
Dieses Microsoft-Spiel ist ein Signal an die Konkurrenz,,,1597994015,"Wirtschaft,Neuer Flugsimulator",welt
Influencerin Dagi Bee will Musikern mit eigenem Label helfen,"Anzeige

Dagmara Kazakov – besser bekannt als Dagi Bee – ist zwar Youtuberin, doch sieht sich vor allem als Unternehmerin. Das steht so in ihrer Instagram-Bio („Content Creator | CEO | Founder“) und das bestätigt sie auch im Gespräch mit „Gründerszene“.

Sie hat sich von einem Drehtermin zum Interview dazugeschaltet, ihr Mann Eugen Kazakov ist in einer separaten Leitung. Gemeinsam wollen die beiden ihre neueste Geschäftsidee präsentieren: 23 Hours – ein Plattenlabel und eine Managementfirma für Künstler.

Sie habe bereits früher andere Influencer beim Markenaufbau unterstützt, erzählt die 25-Jährige, bisher aber eher auf freundschaftlicher Basis. So wie zum Beispiel die YouTuberin Mrs Bella. Jetzt soll daraus ein Geschäft werden.

„Wie klingt ein Song, damit er viral geht?“

Anzeige

„Wir sind selbst nicht die talentiertesten Musiker“, sagt ihr Mann Eugen Kazakov. „Aber wie muss ein Song klingen, damit er viral geht? Dazu können wir auf jeden Fall Feedback geben.“ Die Stärken der beiden sehe er daher in der Vermarktung der Künstler, beim Aufbau von deren Image und der Markenoptimierung für Plattformen wie Instagram oder Tiktok.

„Ich mache das ja schon ein bisschen länger“, sagt Dagmara Kazakov über ihre Karriere als Influencerin. Acht Jahre genau genommen. So lange ist es her, seit sie – inspiriert von ihrem Ex-Freund, auch Youtuber – ihre ersten Videos auf der Plattform hochgeladen hat. Mittlerweile folgen dem Kanal der Düsseldorferin 3,9 Millionen Personen, auf Instagram versammelt sie 6,3 Millionen Follower.

Lesen Sie auch Falco Punch Ein gelernter Tischler ist Deutschlands erfolgreichster TikTok-Star

Mit Eugen Kazakov ist sie seit zwei Jahren verheiratet und seit fünf Jahren liiert. Fast genauso lange arbeiten die beiden auch schon zusammen. Gemeinsam haben sie vor vier Jahren einen Merch-Shop gelauncht, den „Dagi-Shop“.

Anzeige

Vor zwei Jahren folgte die eigene Kosmetikmarke Beetique – und jetzt die Musikfirma 23 Hours. Das neue Business soll zunächst als Tochterfirma an Kazakovs Firma Beetique GmbH angedockt sein. Laut Handelsregister hält die Youtuberin 70 Prozent an dem Unternehmen, ihrem Mann gehören 30 Prozent der Anteile.

Millionen mit Merch und Kosmetik

Erst vor wenigen Wochen gab Kazakov auf ihrem YouTube-Kanal bekannt, dass sie ihren Merch-Shop schließen wird. Dieser Entschluss habe jedoch nichts mit ihrem neuen Projekt zu tun, sagt sie gegenüber „Gründerszene“. Das Interesse am Dagi-Merch sei nach wie vor da gewesen.

Sie räumt aber ein: „Es ist ein bisschen stagniert gegenüber dem, wie es am Anfang war.“ Den Angaben der Kazakovs zufolge soll der Shop pro Jahr einen einstelligen Millionenumsatz erwirtschaftet haben.

An dieser Stelle finden Sie Inhalte aus Instagram Um mit Inhalten von Instagram und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Anzeige

Noch ertragreicher aber soll die Kosmetikmarke gewesen sein, welche die beiden 2018 starteten, zunächst mit der Drogeriekette DM als exklusivem Vertriebspartner. Den genauen Umsatz nennen die beiden jedoch nicht. Mittlerweile gibt es die Produkte nur noch online zu kaufen.

Anders als bei ihrer Kosmetik oder ihrem Onlineshop, wo Badelatschen, T-Shirts und Hoodies mit ihrem Namen bedruckt sind, will sich die Youtuberin bei der Arbeit für ihr Label eher zurückhalten. Sie wolle den Künstlern keinen „Dagi-Stempel“ aufdrücken, diese sollten stattdessen lieber für sich stehen.

Ihren Youtube-Kanal will Dagi Bee weiterbetreiben

Dagmara Kazakov ist zwar erst 25, doch ihre acht Jahre als Youtuberin sind gerade im Social-Media-Zeitalter eine Ewigkeit. Erst im vergangenen Jahr hatte sie sich eine Auszeit von Youtube genommen. In dieser Zeit sei „privat viel passiert“ um sie herum, sagt sie. Weiter ins Detail gehen will sie nicht. Mit Youtube möchte sie trotz der Arbeit am Label weitermachen.

Lesen Sie auch Mit prominenter Unterstützung Wie diese App zur deutschen TikTok-Kopie werden will

In den vergangenen Monaten habe sie durch Instagram und Tiktok gescrollt, um so auf potenzielle Talente für die Musikfirma zu stoßen. Ob die Künstler hohe Followerzahlen aufweisen, sei ihr dabei nicht wichtig, sagt sie. Stattdessen: „Viel Attitüde, Selbstbewusstsein und Talent.“

Mit zwei Künstlern kann 23 Hours bisher im Portfolio aufwarten: dem DJ-Duo Dhali und dem britischen Popsänger Georgie Keller. Was die Musikrichtung ihrer zukünftigen Klienten angeht, wollen die Kazakovs offen bleiben. Sogar Schlager käme infrage, sagt Eugen Kazakov.",Sarah Heuberger,1597992414,"Gründerszene,Bekannte Youtuberi",welt
"„Es geht darum, dass man mit den Fakten ähnlich umgeht“",,,1597991761,"Videos,Einheitliche Bußgelder",welt
Enttäuschte Fans nach Halbfinal-Aus,,,1597991073,"Sport,Olympique Lyon",welt
Mindestens fünf Tote bei Waldbränden in Kalifornien,"In Kalifornien kämpfen mehr als 10.000 Feuerwehrleute gegen zwei Dutzend Großbrände an. Die Flammen haben Tausende Menschen aus ihren Häusern getrieben, mindestens fünf Menschen kamen ums Leben.

Anzeige

Die Waldbrände in Kalifornien haben mindestens fünf Menschen das Leben gekostet. Etwa 175 Gebäude seien zerstört worden, teilten die Behörden am Donnerstag (Ortszeit) mit. Die Flammen bedrohten Zehntausende Häuser. 33 Feuerwehrleute und Zivilisten seien verletzt. Mindestens zwei Menschen würden noch vermisst.

Im Bezirk Solano kam ein Einwohner ums Leben, wie Sheriff Thomas Ferrara mitteilte. In Napa County gab es seit Beginn der Brände drei weitere Tote. Am Mittwoch stürzte ein Hubschrauber beim Löscheinsatz ab. Der Pilot wurde getötet. Zahlreiche Bürger wurden aufgerufen, sich auf Evakuierungen vorzubereiten.

Die Brände sind durch eine beispiellose Serie von Blitzeinschlägen ausgelöst worden. Binnen weniger Tage wurden fast 11.000 Blitze gezählt, die mehr als zwei Dutzend große Brände entzündeten, vor allem im Norden des US-Staates. Die Flammen fanden in knochentrockenem Wald- und Buschland schnell Nahrung. Tausende Menschen mussten aus ihren Häusern fliehen.

Anzeige

Bereits am Dienstag hatte der Gouverneur Gavin Newsom wegen der Brände und der anhaltenden Sommerhitze den Notstand ausgerufen. Auf diese Weise können Gelder und Helfer schnell bereitgestellt werden.

Lesen Sie auch Dürre „Eine Trockenheit, wie wir sie noch nicht beobachtet haben“

Die ungewöhnlich große Zahl gleichzeitig lodernder Großbrände brachte die Feuerwehr an die Grenze der Leistungsfähigkeit. Sie schickte mehr als 10.000 Leute in den Kampf gegen die Flammen. Doch bei jedem größeren Brand reichten die Kräfte nicht aus, erklärten die Einsatzleitungen. Manche Feuerwehrleute seien 72 Stunden am Stück im Einsatz, statt der üblichen 24.

Kalifornien habe andere US-Staaten um 375 Einsatzfahrzeuge und Mannschaften gebeten, sagte der Vizedirektor der Brandschutzbehörde, Daniel Berlant. „Das wird unseren Feuerwehrleuten, die seit dem Wochenende an der Front waren, die Chance auf etwas Ruhe verschaffen“, sagte er.

Ein Pick-up-Truck nahe Vacaville Quelle: REUTERS

Ein Feuerwehrmann in Santa Cruz kämpft gegen die Flammen Quelle: AP/Shmuel Thler

Ein Feuerwehr-Team nahe Salinas Quelle: AP/Nic Coury

Anzeige

Kalifornien, das oft unter Trockenheit leidet, wird jedes Jahr von Waldbränden heimgesucht. Gewöhnlich treten die schwersten Brände erst am Ende des Sommers auf. Besonders schlimm traf es im November 2018 den Ort Paradise in Nordkalifornien, wo heftige Winde das sogenannte „Camp“-Fire schnell ausbreiteten. 85 Menschen starben, Zehntausende wurden obdachlos.","'Hannelore Crolly', 'Barbara Barkhausen', 'Clemens Wergin'",1597990320,"Panorama,USA",welt
Wahlkampf vor leeren Hallen – was heißt das für Biden und Trump?,"Ein virtueller Nominierungsparteitag, keine euphorischen Reden vor jubelnden Massen. Die Corona-Pandemie hat die US-Wahlen fest im Griff. Was bedeutet das für die Kandidaten? Und wo findet der Wahlkampf 2020 statt? Darum geht es in dieser Folge des „Wahl Special“.

Hier können Sie unsere WELT-Podcasts hören Wir nutzen den Player des Anbieters Podigee für unsere WELT-Podcasts. Damit Sie den Podcast-Player sehen können und um mit Inhalten aus Podigee und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Abonnieren Sie diesen Podcast bei Spotify, Apple Podcasts, EarliAudio​​​​​​​, Deezer, Google Podcasts, Podimo oder direkt per RSS-Feed!

Anzeige

Pressekonferenzen im Weißen Haus werden zu Wahlkampf-Events, Donald Trump triumphiert schon, wenn er nur vor 50 Zuschauern sprechen darf und der demokratische Kandidat Joe Biden startet seine Kampagne virtuell beim Online-Nominierungsparteitag. Der US-Wahlkampf 2020 findet unter bisher nie dagewesenen Bedingungen statt. Jubel und euphorische Reden in vollen Hallen – Fehlanzeige.

Die immer noch hohen Covid-19-Infektionszahlen in den USA machen das in diesem Jahr nahezu unmöglich. Joe Biden hat schon früh angekündigt, dass er auf große Veranstaltungen verzichten wird. Und der Präsident? Nach Kritik an seinem Wahlkampfauftakt im Juni in Tulsa, Oklahoma und unschönen Bildern von halbleeren Rängen, hält auch er sich zurück mit Massenveranstaltungen.

Lesen Sie auch Pandemie Corona-Fälle in Tulsa nach Trumps Wahlkampfauftritt deutlich gestiegen

Anzeige

Doch was bedeutet dieser andere Wahlkampf für die beiden Kandidaten? Wie kann der Präsident auch ohne Groß-Events punkten? Wo werden die Demokraten und Republikaner um ihre Wähler werben? Darum geht es in dieser Folge von „Inside USA – Wahl Special“. Außerdem – nach der Überraschung 2016: Welche der verschiedenen Umfragewerte lohnt es sich genauer anzusehen?

Bis zur Wahl erscheint der Podcast jetzt wöchentlich – alle zwei Wochen beantwortet Steffen Schwarzkopf im „Wahl Special“ im Gespräch mit WELT-Redakteurin Sonja Gillert in Berlin die großen Fragen rund um das Wahljahr 2020.

INSIDE USA ist der Podcast des US-Korrespondenten von WELT. Steffen Schwarzkopf gibt Einblicke hinter die Kulissen des Washingtoner Politbetriebs und in das Amerika der ganz normalen Leute. Vor allem über das, was man im TV oder Web nicht zu sehen bekommt, spricht er an dieser Stelle regelmäßig. Und über das nicht immer ganz einfache Familienleben mit seiner Frau Julia und den Kindern Til und Jette. Aber natürlich geht es immer wieder auch um einen Mann, den Steffen gerne „meinen Präsidenten“ nennt. Um Donald Trump also. Denn um den kommt man als US-Korrespondent einfach nicht herum.","Steffen Schwarzkopf, Sonja Gillert",1597989542,"Inside USA,Podcast",welt
"Aktivist will Flug verhindern, die Passagiere reagieren ungehalten","Klimaaktivisten von der Gruppe „Extinction Rebellion“ protestieren an vier deutschen Flughäfen gegen Inlandsflüge. Alleine am Lübecker Flughafen wurden 18 Personen festgenommen.

Anzeige

Montagmorgen, 8.20 Uhr am Flughafen in Düsseldorf: Eine Eurowings-Maschine will Richtung Hamburg abheben. Doch während eine Stewardess die Sicherheitsvorkehrungen vorliest, steht plötzlich ein Passagier auf und stellt sich mitten in den Gang der Maschine. Er ist ein Aktivist der Gruppe Extinction Rebellion (XR) und will mit seiner Aktion gegen Kurzstreckenflüge und deren Folgen für die Umwelt demonstrieren. „Bitte halten Sie dieses Flugzeug an“, ruft er. „Ich bin nicht bereit mitzufliegen. Ich möchte wieder aussteigen. Ich bin nicht bereit, mich wieder hinzusetzen.“

Die wenigen Sätze reichen jedoch schon aus, um den Zorn anderer Fluggäste abzubekommen: „Ey du A..., setz dich wieder hin“ ist zu hören. Genauso wie: „Zieh die Maske erst mal über die Nase, mein Freund.“ Es gehe nicht um sein Leben, versucht der junge Mann fortzufahren und schiebt immer wieder seine Schutzmaske über die Nase, es gehe um das Leben aller.

Der Aktivist wird sichtlich nervös, atmet tief ein und fährt fort: „Die Erde wird heiß. Unsere Mutter Natur geht vor die Hunde.“ Erneut ein Zwischenruf aus dem hinteren Teil der Maschine: „Komm setz dich hin, du Affe.“ Eine Mitarbeiterin ist zu hören – sie verspricht Klärung. Der Aktivist versucht, mithilfe seines Zettels fortzufahren, wird jedoch vom Piloten unterbrochen. Man wolle zurück zur Parkposition, damit der Passagier aussteigen könne.

An dieser Stelle finden Sie Inhalte aus Twitter Um mit Inhalten aus Twitter und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Anzeige

Der Mann mit den kurzen Haaren spricht noch „vom Ende der lieben Welt“, publizierten Zahlen und dem Ende, welches „wir uns schwarz ausmalen können“.

Doch ein Blick auf die Zahlen zeigt eben auch: Innerdeutsche Flüge sind lediglich für 0,3 Prozent der deutschen CO-Emissionen verantwortlich. Zum Vergleich: Der Autoverkehr bringt es allein auf 20,8 Prozent. Die Maschine konnte – wenn auch mit einer leichten Verspätung – noch nach Hamburg fliegen.

Lesen Sie auch Nach Grünen-Forderung Klimasünde Inlandsflug? Die Zahlen sagen etwas anderes

Auch in Lübeck kam es zu einem Zwischenfall. Etwa zehn Menschen befanden sich nach Angaben eines Sprechers von Extinction Rebellion am Morgen auf der Rollbahn am Flughafen. Drei von ihnen hätten versucht, sich mit Sekundenkleber an den Händen an der Rollbahn festzukleben, wie die Polizei mitteilte. Dies hätten die Beamten jedoch verhindert und die Aktivisten in Gewahrsam genommen.

Anzeige

Lorenz Gösta Beutin, klimapolitischer Sprecher der Fraktion Die Linke im Deutschen Bundestag, begleitete die Proteste vor Ort. Er berichtete von 100 bis 150 weiteren Demonstranten vor dem Rollfeld. Die Polizei spricht von 80 Personen. Zudem hatten laut Polizei drei Aktivisten der Gruppe Extinction Rebellion Flugtickets nach München. Einer von ihnen hätte versucht, sich am Flugzeug festzukleben. Die Polizei nahm auch diese drei Personen in Gewahrsam.

Lübeck, Düsseldorf, München – Proteste gegen Kurzstreckenflüge

Bereits am Sonntag kam es in München zu einem ähnlichen Vorfall: Auch im Terminal 2 des Münchner Flughafens wurde gegen Kurzstreckenflüge vor allem innerhalb Deutschlands demonstriert. Rund ein Dutzend Aktivisten ketteten sich an Kofferkulis und blockierten so Teile des Bereichs rund um die Check-In-Schalter.

Zu Beeinträchtigungen des Flugverkehrs kam es während der etwa zwei Stunden dauernden Aktion nicht.","'Ibrahim Naber', 'Alexander Von Schönburg', 'Oliver Beckhoff', 'Denis Fengler', 'Marcel Leubecher'",1597665996,"Panorama,Flughafen Düsseldorf",welt
Real-Wunderkind zum BVB? Favre verplappert sich,,,1597665631,"Sport,Reinier",welt
"Merkel nennt Corona-Zahlen besorgniserregend, aber noch beherrschbar","In Deutschland steigen die Corona-Zahlen wieder an. Bundeskanzlerin Angela Merkel schließt weitere Lockerungen aus. Gesundheitsminister Spahn sieht nicht nur Reiserückkehrer, sondern besonders private Feiern und Veranstaltungen als Gefahrenquelle.

Anzeige

Kanzlerin Angela Merkel (CDU) hat die ansteigenden Zahlen von Corona-Infektionen in Deutschland als besorgniserregend, aber noch beherrschbar bezeichnet. Nach Informationen der Deutschen Presse-Agentur aus Teilnehmerkreisen der ersten virtuellen CDU-Präsidiumssitzung nach der Sommerpause sagte Merkel am Montag demnach weiter, es könne deswegen derzeit keine weiteren Lockerungen geben. Dies gelte auch für Fußballspiele.

Nach weiteren Informationen aus Parteikreisen laufen derzeit Gespräche über ein Treffen der Ministerpräsidenten mit der Kanzlerin in der kommenden Woche, bei der über die Corona-Lage beraten werden soll. Die Entscheidung solle noch im Laufe des Tages bei Beratungen von Kanzleramtschef Helge Braun mit den Chefs der Staatskanzleien fallen.

Wann das Treffen sein könnte und ob es mit persönlicher Anwesenheit im Kanzleramt stattfindet, war zunächst nicht bekannt. Bei den Beratungen soll es demnach auch um die uneinheitlichen Regeln im Umgang mit der Pandemie gehen.

1400 Neuinfektionen am vergangenen Freitag und Samstag

Anzeige

Der hessische Ministerpräsident Volker Bouffier (CDU) warnte nach Angaben aus Teilnehmerkreisen im CDU-Präsidium vor Alarmismus im Zusammenhang mit den aktuellen Corona-Zahlen. In Deutschland gebe es nicht mehr eine Situation wie im März. Man müsse nun besonnen mit der Lage umgehen. Bouffier und auch der nordrhein-westfälische Ministerpräsident Armin Laschet hätten in den Beratungen deutlich gemacht, dass sie erwarteten, dass man noch lange mit der jetzigen Situation leben müsse.

Innerhalb eines Tages hatten die Gesundheitsämter in Deutschland 561 neue Corona-Infektionen gemeldet. Dies ging aus Angaben des Robert-Koch-Instituts (RKI) vom frühen Montagmorgen hervor. Am Freitag und Samstag hatte das RKI jeweils noch mehr als 1400 Neuinfektionen binnen 24 Stunden gemeldet. An Sonntagen und Montagen liegen die Zahlen erfahrungsgemäß oft niedriger, weil am Wochenende nicht alle Gesundheitsämter Daten an das RKI übermitteln.

Der Höhepunkt bei den täglich gemeldeten Neuansteckungen hatte Anfang April bei mehr als 6000 gelegen. Die Zahl war nach den immer noch über 1000 liegenden Werten im Mai in der Tendenz gesunken, seit Ende Juli steigt sie wieder. Experten zeigen sich besorgt, dass es zu einem starken Anstieg der Fallzahlen kommen könnte, der die Gesundheitsämter bei der Nachverfolgung von Ansteckungsketten an ihre Grenzen bringt.



","'Jens Lubbadeh', 'Thomas Vitzthum', 'Susanne Gaschke', 'Manuel Bewarder'",1597665599,"Deutschland,Anstieg der Infektionen",welt
Reul „erschrocken“ über Festnahme-Video – Polizist zunächst versetzt,"Die Szenen erinnern an die Festnahme, bei der George Floyd starb: Auf Twitter ist ein Video aus Düsseldorf aufgetaucht, in dem ein Polizist auf dem Hals eines Mannes kniet. NRW-Innenminister Herbert Reul will das Geschehen konsequent aufarbeiten.

Anzeige

Was passierte am Samstagabend in der Düsseldorfer Altstadt? Ein 28-Sekunden-Video zeigt Szenen, selbst Innenminister Herbert Reul (CDU) zeigte sich beim ersten Anblick „erschrocken“. Tatsächlich gab es laut Ermittlern eine Vorgeschichte – die nicht im Video zu sehen ist.

Die Debatte um den Polizeieinsatz gegen den 15-Jährigen, der von einem Beamten mit dem Knie am Kopf zu Boden gedrückt wurde, läuft dennoch weiter auf Hochtouren. Vergleiche zum US-Amerikaner George Floyd werden gezogen.

Das Video aus Düsseldorf – aufgenommen von einem Augenzeugen – hatte sich am Wochenende rasant im Internet verbreitet. Man sieht den 15-Jährigen gefesselt am Boden, ein Polizist kniet auf seinem Rücken, der andere auf seinem Kopf. Aus dem Hintergrund hört man die Stimme eines unbeteiligten Mannes, vermutlich des Filmers: „Hol' man dein Knie runter... Bruder, das ist nicht lustig.“

Anzeige

„Auch ich habe mich erschrocken“, sagte Innenminister Herbert Reul (CDU) am Montag über den ersten Moment, in dem er das Video sah. Er habe bereits einen Zwischenbericht zu dem Vorfall bekommen. Demnach sei die Polizei am Samstagabend zunächst wegen zehn Randalierern zu einem Schnellrestaurant gerufen worden. Der 15-Jährige, der offenbar nichts mit dem eigentlichen Einsatz zu tun hatte, habe sich eingemischt und einen Beamten angegriffen.

An dieser Stelle finden Sie Inhalte aus Twitter Um mit Inhalten aus Twitter und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Ein Sprecher der Düsseldorfer Polizei bestätigte auf dpa-Anfrage, dass der 15-Jährige sich während der Maßnahmen gegen die Randalierer „physisch“ eingemischt habe. Laut mehrerer Zeugen habe er die Beamten bepöbelt, Faustschläge angedeutet und schließlich Polizisten auch körperlich attackiert. Davon, dass der 15-Jährige die Beamten unter anderem als „Hurensöhne“ betitelt haben soll, sieht man im Internet nichts – wie aus Ermittlerkreisen zu hören ist, war es aber so.

„Ein starker Staat muss verhältnismäßig mit seiner Macht umgehen“

Das erste, was man im Video sieht: Der Polizeibeamte, der mit dem Knie am Kopf den 15-Jährigen am Boden fixiert. Gegen den Polizisten wird laut Staatsanwaltschaft wegen des Verdachts der Körperverletzung im Amt ermittelt. Auch gegen den Jugendlichen liegen mehrere Anzeigen vor – wegen Widerstands gegen die Staatsgewalt, Beleidigung und tätlichen Angriffs.

Anzeige

Wie Innenminister Reul am Montag ausführte, wären Knie und Schienbein auf Ohr und Schädel des jungen Mannes durch die Einsatzvorgaben der Landespolizei durchaus abgedeckt gewesen. Auf dem Hals wäre dies wegen der Verletzungsgefahr nicht erlaubt. Was genau in dem Moment passiert sei, müsse daher nun „objektiv geklärt werden“.

Aus Neutralitätsgründen hat die Polizei Duisburg zusammen mit der Staatsanwaltschaft Düsseldorf die Ermittlungen übernommen. Der betroffene Beamte mache vorläufig Innendienst. „Ich will den Einsatz am Samstagabend in keiner Weise rechtfertigen, ich will ihn aber auch nicht vorschnell verurteilen“, sagte Reul. Körperliche Gewalt durch Polizisten sei keineswegs per se rechtswidrig, wie manche glaubten, sagte Reul, sondern oft angebracht, zulässig und zwingend erforderlich.

Der 15-Jährige sei nach bisherigen Erkenntnissen ebenso wenig verletzt worden wie der Beamte, den er angegriffen haben soll. Aufnahmen aus Bodycams der Polizei, die den Vorfall aus anderer Perspektive zeigen könnten, gebe es nicht.

Lesen Sie auch Gewalt in Frankfurt/Main „Es sind Jugendliche, die Deutschland nicht als ihr Land ansehen“

Anzeige

Das Internet-Video rief unterdessen die Opposition auf den Plan. „Das Video, das im Netz von dem Einsatz gegen einen Minderjährigen kursiert, zeigt mehr als verstörende Sequenzen“, teilten die SPD-Abgeordneten Sven Wolf und Hartmut Ganzke mit. „Wir hatten gehofft, dass wir solche Bilder nach dem tragischen Tod von George Floyd in Deutschland niemals zu sehen bekommen würden. Ein starker Staat muss verhältnismäßig mit seiner Macht umgehen.“

„Niemand darf vorverurteilt werden“

Die SPD-Fraktion beantragte ebenso wie die Fraktion der Grünen eine Aktuelle Viertelstunde zu dem Thema am Donnerstag im Innenausschuss des Landtags. Die Innenexpertin der Grünen, Verena Schäffer, twitterte am Montag: „Der Polizeieinsatz in Düsseldorf muss aufgeklärt werden. Dass Polizisten sich auf Kopf/Hals einer am Boden liegenden, bereits fixierten Person knien, kann nicht verhältnismäßig sein.“ Sie ergänzte: „Eine Aufklärung dieses Vorfalls ist wichtig, damit Vertrauen in die Arbeit der Polizei nicht verloren geht.“

Innenminister Reul war der Opposition übrigens zuvorgekommen: Er hatte den Tagespunkt bereits im Innenausschuss angemeldet, bevor SPD und Grüne darum baten. Reul weiß um die Macht der Bilder – und die Gefahr der Verkürzung. Und so stellte sich auch der NRW-Chef der Gewerkschaft der Polizei (GdP), Michael Mertens, am Montag teils hinter die Beamten: „Polizeiliches Handeln ist rechtsstaatlich überprüfbar – und niemand darf vorverurteilt werden. So muss auch der ganze Sachverhalt rechtsstaatlich untersucht werden. Und nicht nur anhand einer kurzen Videosequenz beurteilt werden.“","'Marcel Leubecher', 'Kristian Frigelj'",1597675920,"Panorama,Beamter kniet auf Hals",welt
