title,text,author,published,tags,source
"Rina (†17), ihre Mörder und das Geld aus Europa","Anzeige

Am 23. August 2019 starb die 17-jährige Israelin Rina Shnerb in der Nähe der Quelle Ein Bubin nordwestlich von Jerusalem bei einem Bombenanschlag. Mit ihrer Familie war sie dort zu einer Wanderung aufgebrochen. Per Fernzünder lösten die Täter die Explosion aus. Der Fall sorgte in Israel für Bestürzung – und bringt auch die Bundesregierung in Erklärungsnot.

Zwei Tatverdächtige sollen nicht nur zum Umfeld der Terrorgruppe Volksfront zur Befreiung Palästinas (PFLP) zählen, sondern auch für eine Nichtregierungsorganisation (NGO) gearbeitet haben, die Fördergelder aus Europa erhält. Vergangene Woche, beinahe ein Jahr nach der Tat, zog die niederländische Regierung Konsequenzen. Überprüfungen hätten ergeben, dass Steuergelder an die in Ramallah ansässige Landwirtschaftsorganisation Union of Agricultural Work Committees (UAWC) geflossen seien, die damit teilweise die Gehälter der Verdächtigen Samer A. und Abdul Razeq F. gezahlt habe.

An dieser Stelle finden Sie Inhalte aus Facebook Um mit Inhalten aus Facebook und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Sigrid Kaag, Ministerin für Entwicklungszusammenarbeit, kündigte an, die Zusammenarbeit mit der UAWC auszusetzen. Es solle eine „externe Untersuchung“ der Verbindungen zwischen der NGO und der PFLP geben. Die Verdächtigen seien nicht in einem von den Niederlanden unterstützten Projekt eingesetzt gewesen, hieß es weiter. Die Gehaltszahlungen seien erst kürzlich aufgefallen. Laut der niederländischen Zeitung „Telegraaf“ sollen die Niederlande die UAWC zuletzt mit 13 Millionen Euro unterstützt haben.

Lesen Sie auch Atomanlagen Mysteriöse Explosionen im Iran – steckt der Mossad dahinter?

Anzeige

Für Deutschland ist der Zahlungsstopp im Nachbarland brisant: auch die Bundesregierung unterstützt die UAWC, obwohl Kritiker schon lange vor Verbindungen zu Terroristen warnen. Noch Anfang Juli war aus dem Auswärtigen Amt auf Nachfrage von WELT AM SONNTAG zu vernehmen, auch nach genauer Prüfung habe sich der Vorwurf einer strukturellen Verbindung der UAWC zu Terrororganisationen nicht erhärtet. Nun, zwei Wochen später, betont man, im Gegensatz zu den Niederlanden fördere das Auswärtige Amt die UAWC nicht direkt. Sie sei lediglich ein „lokaler Partner“ einer vom Auswärtigen Amt geförderten deutschen Nichtregierungsorganisation. Sie erhalte in diesem Rahmen projektbasierte Mittel.

In der Nähe der Siedlung Dolev verübten die Täter den Bombenanschlag, bei dem Rina Shnerb starb Quelle: pa/AA/Issam Rimawi

Mit der deutschen NGO ist die Hilfsorganisation Medico International mit Sitz in Frankfurt am Main gemeint. Sie listet die UAWC seit Jahren als Förderpartner. 2017 unterstützte die Bundesregierung Projekte von Medico in den palästinensischen Autonomiegebieten laut eigener Angabe mit rund zwei Millionen Euro. Auf der Internetseite des Auswärtigen Amtes finden sich Zeugnisse der jahrelangen Zusammenarbeit. Demnach wurden 2010 Gewächshäuser, Ställe und Wasserleitungen mit 180.000 Euro finanziert. Über ein aktuelles Projekt mit der UAWC schreibt Medico: „Angesichts von Siedlergewalt und fortschreitender Enteignung unterstützt Medico den zivilen Widerstand gegen die Besatzung im Westjordanland.“ Versuche, die Geldflüsse der Bundesregierung genauer nachzuvollziehen, sind schwierig. Im Dezember 2018 gab die Bundesregierung an, eine Aufschlüsselung der geförderten Projekte sei nicht möglich, da die Informationen als vertraulich eingestuft seien.

Der Prozess gegen die mutmaßlichen Mörder Rina Shnerbs geht Ende August weiter. In Berlin beruhigt man sich damit, dass die beiden Männer ihre Anstellung bei der NGO mittlerweile verloren.

Anzeige

Dieser Text ist aus der WELT AM SONNTAG. Wir liefern sie Ihnen gerne regelmäßig nach Hause.",Lennart Pfahler,1595767012,"Ausland,Terror im Westjordanland",welt
„Ab da hab ich kein Geld mehr verdient“,,Kai Krings,1595765994,"Panorama,Arbeitslos durch Corona-Krise",welt
Polizei löst Party in Berliner Park auf,,,1595765575,"Videos,5000 Menschen",welt
Amerikas Allianz gegen die „neue Tyrannei“,"Corona, Hongkong, Huawei: Die USA verschärfen ihre Gangart gegenüber Peking – ökonomisch sowieso, und jetzt auch diplomatisch. Beide Supermächte sind Konkurrenten in einem globalen Geltungskampf.

Retourkutsche aus Peking: Die chinesische Regierung schließt das US-Konsulat in Chengdu. Die USA hatten zuvor das chinesische Konsulat in Houston dichtgemacht. Streitpunkt: die Handelspolitik.

China ordnet Schließung von US-Botschaft an

Anzeige

60 Mitarbeiter des chinesischen Generalkonsulats im texanischen Houston dürfen seit Freitag nicht mehr ihr Büro betreten. Die US-Regierung hat Peking gezwungen, das Konsulat zu schließen. Sie wirft China indirekt Spionage vor, begründet die Schließung mit dem Schutz geistigen amerikanischen Eigentums.

Konkreter wurde das State Department nicht. In der Nacht zu Mittwoch zogen Rauchschwaden über dem Gebäude auf. Ein Fernsehsender zeigte, wie in dem Hof offenbar Unterlagen verbrannt wurden. China übte Vergeltung und ließ das US-Konsulat in Chengdu schließen.

Lesen Sie auch Superpower Chinas gefährlicher Griff nach der Welt

Die Schließung der Konsulate ist ein weiterer Schritt in einer Eskalation zwischen Washington und Peking. Seit vielen Jahren verstehen sich die beiden Supermächte als Konkurrenten in einem globalen Geltungskampf – es geht um wirtschaftliche Profilierung wie geopolitischen Gestaltungsdrang. Ein knappes halbes Jahrhundert seit Präsident Nixons legendärer Reise nach China sind die beiden Weltmächte auf dem Weg in eine neue, freilich andere Eiszeit.

Trump spricht wieder vom „chinesischen Virus“

Anzeige

US-Präsident Donald Trump bezeichnet Chinas Präsidenten Xi Jinping inzwischen nicht mehr als „meinen Freund“, er dankt ihm auch nicht mehr für seine „Transparenz“, wie noch vor einem halben Jahr. Stattdessen spricht Trump wieder konsequent vom „chinesischen Virus“. Gut drei Monate vor der Präsidentschaftswahl beanspruchen sowohl Demokraten als auch Republikaner, die jeweils härtere Gangart gegen Peking einzulegen.

Lesen Sie auch EU-Reaktion auf Hongkong Der Mythos vom allmächtigen China

Das Verhältnis zu China ist in den USA omnipräsent. Ein Grund ist die Corona-Pandemie, die ihren Ursprung in China hat und die von Peking zunächst vertuscht worden ist. Im Juli traten die USA aus der Weltgesundheitsorganisation aus. Trump begründete den Schritt mit mutmaßlicher Nachsicht gegenüber China. Hinzu kommt das „Sicherheitsgesetz“, das die kommunistische Führung Hongkong aufgedrückt hat, um mit eigenen Kräften gegen die Demokratiebewegung dort vorgehen zu können.

Washington entzog Hongkong sodann den Sonderstatus nach amerikanischem Recht. Nachdem die ersten Regierungsjahre Trumps von Bemühungen geprägt waren, ein Handelsabkommen mit China abzuschließen, eskalierte der Streit im vergangenen Jahr, es folgten Strafzölle.

Lesen Sie auch Weltgesundheitsorganisation Wer steuert die WHO?

Anzeige

Der Konkurrenzkampf zwischen beiden Nationen macht vor kaum einem Bereich Halt, ob politisch, wirtschaftlich oder militärisch. Washington wirft Peking den Diebstahl geistigen, kommerziellen und militärischen Eigentums vor. Alle zehn Stunden eröffnet die Spionageabwehr des FBI nach eigenen Angaben eine China-bezogene Untersuchung.

Trotz des Geltungskampfes existiert auch Appeasement

Das Justizministerium ermittelt wegen Betrugs gegen eine aus China stammende Wissenschaftlerin an der Uni Stanford, die ihre Mitgliedschaft im Militär verheimlicht haben soll. Am Dienstag klagte es zudem zwei chinesische Hacker an. Sie sollen versucht haben, Informationen über die Forschung zum Coronavirus-Impfstoff zu stehlen. Die USA sanktionierten zudem hohe Mitglieder der Kommunistischen Partei und nahmen jüngst vier chinesische Wissenschaftler wegen Visabetrugs fest.

Lesen Sie auch China-abhängige Institute Erste deutsche Hochschulen kappen die Konfuzius-Connection

Im Kampf gegen die Ausbreitung des chinesischen Telekommunikationsausrüsters Huawei stoppten die USA bereits im Mai den Transfer von Militärtechnologie. So soll Huawei daran gehindert werden, unverzichtbare amerikanische Komponenten zu erhalten. Washington würdigt Großbritanniens Entscheidung, Huawei vom Bau des 5G-Netzes auszuschließen. Eine „breite Allianz“ gegen China forderte US-Außenminister Mike Pompeo. Viele Augen richten sich auf die unentschiedene Haltung Berlins zu 5G und Huawei.

Anzeige

Appeasement gegenüber China existiert dabei auch in den USA. Trumps Nationaler Sicherheitsberater Robert O’Brien wies jüngst darauf hin, die Konzerne Marriott, American, Delta und United Airlines hätten alle Verweise auf Taiwan von ihren Unternehmenswebseiten entfernt, um Peking nicht zu verärgern. Während einer Rede zur Chinapolitik am Donnerstag in der Nixon-Bibliothek in Kalifornien warnte Pompeo vor einer „neuen Tyrannei“ durch China. Nixon habe einst befürchtet, einen „Frankenstein“ geschaffen zu haben, indem er die Welt für die Kommunistische Partei Chinas öffnete. Pompeo rief: „Und hier stehen wir nun!“

Lesen Sie auch Weltordnung Wir müssen uns entscheiden

Dieser Text ist aus der WELT AM SONNTAG. Wir liefern sie Ihnen gerne regelmäßig nach Hause.

Quelle: WELT AM SONNTAG



",Daniel Friedrich Sturm,1595765086,"Ausland,Umgang mit China",welt
Scharfe Kritik an Regierung wegen ungeregelter Einreise Infizierter,"Lokale Behörden in Niedersachsen kritisieren das Bundesinnenministerium (BMI) massiv. Sie werfen der Behörde vor, die Einreise von Spätaussiedlern, die in den vergangenen Monaten wegen der Corona-Pandemie nach Deutschland kamen, deutlich zu nachlässig organisiert zu haben. Die Einreisenden wurden nicht auf das Virus getestet und konnten unkontrolliert durchs Land reisen. Die Folge war ein gravierender Virusausbruch im niedersächsischen Grenzdurchgangslager Friedland.

Das Innenministerium von Horst Seehofer (CSU) habe den Zuzug von Spätaussiedlern in der Pandemie nicht im Griff gehabt, sagte etwa die Göttinger Kreisrätin Marlies Dornieden (CDU), die den Krisenstab in ihrem Landkreis leitet. „Es kann nicht sein, dass Menschen aus Risikoländern ungetestet oder gar mit Krankheitssymptomen quer durch das Land nach Friedland reisen“, sagte Dornieden. Spätaussiedler, also Zuwanderer deutscher Abstammung, die aus einem ehemaligen Ostblockstaat kommen, dürfen legal nach Deutschland einreisen. Seit Beginn der Pandemie waren vor allem Menschen aus Kasachstan zugereist – vielfach aus Angst vor dem Coronavirus, das dort besonders stark grassiert.",Dirk Banse,1595763925,"Politik,Spätaussiedler",welt
Trump hat keine Chance – genau wie 2016,"In 100 Tagen wählen die USA einen neuen Präsidenten. Alle landesweiten Umfragen sehen einen haushohen Wahlsieg Joe Bidens voraus. „Trump weiß, dass er verliert“, legte sich ein Magazin zuletzt fest. Diese Prognosen erinnern auffallend an die Zeit vor der Wahl 2016.

Anzeige

100 Tage sind es an diesem Sonntag noch bis zur amerikanischen Präsidentschaftswahl. In allen bundesweiten Umfragen liegt der Demokrat Joe Biden vor Präsident Donald Trump, und dies seit mehreren Wochen. Auch in den meisten Schlüsselstaaten hat der Herausforderer gegenüber dem Amtsinhaber die Nase vorn.

Der britische „Economist“, der in den USA viel gelesen wird, beziffert gar die Chance für einen Wahlsieg Bidens – genauer gesagt: für eine Mehrheit im Wahlleutegremium – auf 93 Prozent. So hoch liege die entsprechende Wahrscheinlichkeit, teilt der „Economist“ über drei Monate vor der Wahl mit. Eine Wiederwahl Trumps am 3. November sei zu sieben Prozent wahrscheinlich.

Der aktuellen Prognose zufolge kämen die Demokraten auf 353 Wahlleute, die Republikaner auf 185 Wahlleute. Das wäre ein sensationeller Sieg Bidens. Die Chance auf die meisten Wählerstimmen für Biden beziffert der „Economist“ gar bei 99 Prozent, für Trump bei nur einem Prozent. Bei der Wahl 2016 hatte Hillary Clinton die absolut meisten Stimmen erhalten, Trump aber eine komfortable Mehrheit im Wahlleutegremium.

Lesen Sie auch Modell lag fast immer richtig Forscher erklärt, weshalb er Trumps Wiederwahl prognostiziert

Anzeige

„Donald Trump weiß, dass er verliert“, begann das Magazin „Politico“ neulich einen Text über die gegenwärtige Lage. Einer seiner treuesten Verbündeten hätte Trump gewarnt, dass er auf dem Weg sei, ein Eine-Amtszeit-Präsident zu werden.

Diese Prognosen – böse Zungen sprechen von Polit-Astrologie – erinnern an die Zeit vor ziemlich genau vier Jahren. „Clinton wird spielend gewinnen“ titelte das Magazin „The Hill“ im Sommer 2016. Die Ratingagentur „Moody‘s Analytics“ prognostizierte, die Demokraten bekämen 332 Wahlleute, die Republikaner 206.

Bei der Wahl sah es bekanntlich sehr anders aus. Trump nämlich errang am Ende 304 Wahlleute, während Clinton nur 227 erhielt. Der Außenseiter-Kandidat besaß somit eine komfortable Mehrheit im Wahlleutegremium. Er wurde 45. Präsident der Vereinigten Staaten.

Anzeige

Demoskopen und politische Beobachter waren tief zerknirscht – ähnlich wie wenige Monate zuvor beim Brexit-Referendum. Wie konnte man sich so irren?

Man hatte offenbar die Stimmung in jenem Amerika fernab der Küstenmetropolen überhaupt nicht verstanden – und die fest gefügten Meinungen innerhalb der eigenen Elitezirkel gegenseitig verstärkt. Alle gelobten Besserung. Aber vier Jahre später scheint das vergessen.

Und wieder wird der Wahlausgang anhand landesweiter Prognosen vorausgesagt. Aber 2016 lagen die Demoskopen vor allem deshalb so daneben, weil einzelne Bundesstaaten für die Wahl entscheidend sind. Nur deren Ergebnisse entscheiden darüber, wer ins Weiße Haus einziehen darf. Trump gelang es, etliche dieser sogenannten Swing States zu gewinnen – wenn auch teilweise extrem knapp.

Anzeige

Clinton hatte etwa den riesigen Fehler gemacht, ihren Sieg in Wisconsin vorauszusetzen, und den Staat nicht ein einziges Mal besucht. Sämtliche Umfragen für Wisconsin sahen Clinton in den Monaten vor der Wahl vor Trump – mit bis zu 16 Prozentpunkten.

Wisconsin ging am Ende an Trump. Anhänger des Präsidenten argumentieren, Trump-Fans hielten gegenüber Meinungsforschern oft mit ihrer Wahlpräferenz hinter dem Berg.

Lesen Sie auch Joseph Robinette Biden, 77 Die Fauxpas-Maschine aus dem Establishment

Inzwischen sind die Demokraten demütiger, haben ihr Personal in Wisconsin verstärkt, den Staat als mit entscheidend für die Macht im Weißen Haus identifiziert. Im August wollen die Demokraten Joe Biden in Milwaukee, der größten Stadt Wisconsins, offiziell zum Präsidentschaftskandidaten nominieren.

Eine 85-prozentige Siegeschance sprach die „New York Times“ Clinton am Wahltag 2016 zu, „basierend auf den letzten nationalen und bundesstaatlichen Umfragen“.

Immerhin, konzedierte die „Times“ damals, ein Sieg Trumps „bleibt möglich“. In dieser Woche erklärte die „Times“ auf fast einer ganzen Seite, dass Biden im Schnitt aller Umfragen einen Vorsprung gegenüber Trump habe, wie es ihn fast 25 Jahre lang nicht gegeben habe.

Trump lässt offen, ob er Niederlage akzeptieren würde Im Exklusivinterview mit dem Sender Fox News ist US-Präsident Donald Trump der Frage ausgewichen, ob er eine mögliche Niederlage bei den Wahlen im November akzeptieren würde. 2016 hatte er gesagt, er würde das Wahlergebnis bei einer Niederlage nicht anerkennen. Quelle: WELT

Aber hat sich nicht auch das Wahlverhalten im letzten Vierteljahrhundert dramatisch gewandelt? Und sind Umfragen nicht unsicherer denn je, Prognosen so gewagt wie nie?

Die Wahlforscher vom Princeton Election Consortium taxierten Clintons Siegeschancen unmittelbar vor der Wahl auf gar 99 Prozent. „Wenn Hillary Clinton am Dienstag nicht gewinnt, wird es eine Riesenüberraschung sein“, schrieb deren führender Wissenschaftler Sam Wang zwei Tage vor der Wahl 2016. Sodann folgte die „Riesenüberraschung“.

Anzeige

In diesen Tagen prognostiziert das Princeton Election Consortium nicht nur einen Wahlsieg Bidens, sondern auch eine komfortable Mehrheit der Demokraten im Repräsentantenhaus und im Senat, der bisher republikanisch majorisiert ist.

Lesen Sie auch Ausgerechnet auf Fox News Diese Interviewblamage ist doppelt besorgniserregend für Trump

Dabei hatten schon Ende 2015 viele Journalisten und Beobachter Grund genug, sich mit ihren Prognose-Fähigkeiten zurückzuhalten. Sie hatten sich bereits geirrt mit der festen Überzeugung, Trump werde niemals die Kandidatur der Republikanischen Partei ergattern.

Ob Dana Milbank, Kolumnist der „Washington Post“, jemals eine Seite seiner Zeitung verspeist hat? Genau das hatte er zugesagt, als er im Oktober 2015 schrieb: „An dem Tag, an dem Trump die Nominierung erhält, werde ich die Seite auffressen, auf der diese Kolumne in der Sonntags-,Post‘ steht.“

Es gibt zu der verführerischen und simplen Möglichkeit, schon heute einen Wahlausgang im November vorherzusagen, eine probate Alternative: Nämlich allein den Wähler entscheiden zu lassen, in den USA präziser gesagt: vor allem die Wähler in den entscheidenden Swing States. Gut möglich, dass selbst in der Wahlnacht vom 3. November der Wahlausgang unklar bleibt. Womöglich selbst in den Tagen danach. Politische Gewissheiten sind weltweit ziemlich rar geworden, zumal in den USA.",Daniel Friedrich Sturm,1595763886,"Ausland,Wahlprognosen",welt
Mit dieser provokanten Botschaft warnt Ibrahimovic seine Zweifler,"Anzeige

Der Grat zwischen Selbstbewusstsein und Arroganz ist schmal. Kaum ein Fußballer spielte in den vergangenen Jahren so geschickt mit dieser verschwimmenden Grenze wie Zlatan Ibrahimovic.

Der schwedische Superstar untermauerte seine oftmals überheblichen Ansagen meistens auch mit herausragenden Leistungen auf dem Rasen.

Doch auch mit 38 Jahren ist beim König der Selbstinszenierung keine Spur von Altersmilde zu erkennen. So wischte der Superstar des italienischen Traditionsvereins AC Mailand nun in für ihn typischer Manier aufkommende Gerüchte um ein Karriereende beiseite. „Ich laufe gerade erst warm“, schrieb Ibrahimovic auf Instagram.

An dieser Stelle finden Sie Inhalte aus Instagram Um mit Inhalten von Instagram und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Anzeige

Mit markigen Worten erklärt der Stürmer im passenden Film, in dem Szenen seiner Karriere zu sehen sind: „Du denkst, ich bin fertig. Dass meine Karriere bald vorbei sein wird. Du kennst mich nicht. Mein ganzes Leben musste ich kämpfen. Keiner glaubte an mich, also musste ich an mich selbst glauben. Einige Leute wollten mich brechen, aber sie haben mich nur stärker gemacht.“

Ex-Mitspieler übt Kritik

Sein dominantes Auftreten löste bei seinen Mitmenschen jedoch nicht nur Begeisterung aus. Albin Ekdal, ehemaliger Profi des Hamburger SV, kritisierte Ibrahimovic kürzlich im schwedischen Radio. Die Gesten und die scharfen Kommentare des Stürmerstars hätten dem Selbstbewusstsein einiger Mitspieler geschadet, so Ekdal über die gemeinsame Zeit im schwedischen Nationalteam.

„Unsere Mannschaft bestand aus einem Weltstar und zehn ordentlichen Spielern, die ihm helfen sollten zu dominieren. Diese Taktik ist nicht aufgegangen“, erklärte der 30 Jahre alte Mittelfeldspieler, der mittlerweile ebenfalls in Italiens Serie A spielt.

Anzeige

Ibrahimovic spielte zuletzt bei der Europameisterschaft 2016 für Schweden, das in Frankreich in der Vorrunde als Gruppenletzter ausschied. Der Angreifer erzielte in 116 Länderspielen 62 Tore.

In bisher 15 Spielen seit seiner Rückkehr zum AC Milan erzielte Ibrahimovic sieben Tore Quelle: AP/Antonio Calanni

Es habe zwar Einigkeit bestanden, dass ein Spieler solchen Kalibers den Ball so oft wie möglich bekommen sollte. Sich auf einen Einzelnen zu verlassen und dadurch allmählich die eigene Verantwortung zu vernachlässigen, funktioniere aber weder im Fußball noch in einem anderen Mannschaftssport, betonte Ekdal.

Niemand habe sein Niveau oder seine maximalen Fähigkeiten erreicht. „Danach dachte ich: Vielleicht waren viele in der Nationalmannschaft nicht in der Lage, mit Zlatans Ansprüchen klarzukommen“, fügte er hinzu.

Bleibt Ibrahimovic in Mailand?

Anzeige

Ohne Ibrahimovic erreichte Schweden bei der Weltmeisterschaft 2018 in Russland das Viertelfinale. Dort habe es in der Mannschaft einen engen Zusammenhalt, Harmonie und Selbstvertrauen gegeben, sagte Ekdal weiter.

Lesen Sie auch Klopps Ernährungsberaterin „Antioxidantien sind kein Trend, sie sind maßgeblich“

Auf die kritischen Worte seines ehemaligen Mitspielers hat Ibrahimovic bisher nicht reagiert. Stattdessen wollte er mit seinem Instagram-Beitrag offenbar den Gerüchten über ein Karriereende entgegentreten.

Sein Vertrag in Mailand läuft noch bis zum Ende der Saison – danach ist seine Zukunft offen. Vieles deutet jedoch darauf hin, dass er in Mailand bleiben wird, nachdem der Vertrag mit Trainer Stefano Pioli verlängert wurde.",,1595763658,"Fußball,Gerüchte um Karriereende",welt
Der Deutschen neue Lust aufs Wandern,"Der Pfälzer Weinsteig führt durch wunderbaren Laubwald, immer mal wieder hinab in ein uriges Winzerdorf. Der Wanderpapst kennt sein Terrain; er erzählt vom Kampf gegen Rebenschädlinge, weist auf Traubensorten hin, erhellt die Geschichte der „Weinstraße“ ebenso wie die Namen diverser Burgen, von denen wir hinabblicken in die Rheinebene.

So fordernd und so unangestrengt geht Wandern in Deutschland. So werden die Köpfe frei, die überall sonst in diesen Tagen immer wieder mit Masken und Regeln an die Pandemie erinnert werden.

Bei Kilometer Acht erspäht Manuel Andrack einen Rastplatz, holt den passenden Tropfen Pfälzerwein aus einer gekühlten Flasche im Rucksack hervor, schraubt stilvolle Wanderweingläser aus Plastik zusammen und prostet. Wir sind eben auf dem Weinsteig.

Andrack ist zu einer Art Galionsfigur des Wanderns in Deutschland geworden. Es ist ihm anzumerken, dass er dieses vertrackte Jahr ohne Wandern sehr viel schlechter überstanden hätte. Und er ist nicht der Einzige.",Dirk Schümer,1595762853,"Deutschland,Ab in die Natur",welt
Kathedrale von Nantes wohl in Brand gesteckt - Verdächtiger gesteht in U-Haft,"Im Zusammenhang mit dem Brand in der Kathedrale von Nantes hat die Polizei einen Verdächtigen festgenommen. Am Samstag war in dem Gotteshaus im historischen Zentrum der Stadt ein Feuer ausgebrochen, bei dem die Orgel wohl vollständig verbrannte.

Anzeige

Der Brand der Kathedrale in Nantes hat tatsächlich einen kriminellen Hintergrund: Ein Kirchenhelfer hat gestanden, an drei Stellen Feuer in dem spätgotischen Gotteshaus gelegt zu haben. Das sagte der Staatsanwalt von Nantes, Pierre Sennès, am Sonntag laut der Regionalzeitung „Presse Océan“.

Der 39-Jährige sitzt derzeit in Untersuchungshaft. Sein Motiv ist noch unklar. Gegen den Mann, der bereits unmittelbar nach dem Brand in Polizeigewahrsam genommen und dann wieder freigelassen wurde, laufe nun ein Ermittlungsverfahren wegen „Zerstörungen und Beschädigungen durch Feuer“. Der in Nantes geborene Ex-Umweltminister François de Rugy dankte den Ermittlern für die rasche Arbeit und fragte: „Wie konnte es dazu kommen?“

Teile der Kirche waren am Samstag vor einer Woche in Flammen aufgegangen, der Brand zerstörte unter anderem die Hauptorgel und beschädigte Fenster. Ermittler hatten bereits mitgeteilt, dass es drei Brandherde gab, so dass von Vorsatz auszugehen sei.

Ein freiwilliger Helfer, der zum Täter wurde

Anzeige

Der laut Nachrichtenagentur AFP aus Ruanda stammende Verdächtige war ein freiwilliger Helfer, der in der Diözese arbeitete. Er war für die Schließung der Kathedrale am Vorabend des Feuers zuständig. Vor einem Ermittlungsrichter gestand der Mann, Feuer an der großen und kleinen Orgel sowie an einer Schalttafel gelegt zu haben, wie Staatsanwalt Sennès berichtete.

Der Anwalt des Verdächtigen, Quentin Chabert, bestätigte laut „Presse Océan“, sein Mandant habe mit der Justiz zusammengearbeitet. Er bereue die Tat bitterlich – es sei eine Befreiung für ihn gewesen, darüber zu sprechen. „Mein Mandant ist heute zermürbt vom Schuldgefühl (...)“, so der Rechtsbeistand. Dem Verdächtigen drohen laut Medien nun eine Haftstrafe von zehn Jahren und eine Geldbuße von bis zu 150.000 Euro.

Der Brand hatte in Frankreich Erinnerungen an das Inferno in der Pariser Kathedrale Notre-Dame vom April vergangenen Jahres geweckt. Parallel dazu wurde in den Medien auch über die zuletzt offenbar zunehmende Zahl von Kirchenbränden und -schändungen von Kirchen und christlichen Weihestätten in dem mehrheitlich katholischen Land diskutiert.

Lesen Sie auch Brand der Notre-Dame „Es wirkt wie biblische Plagen“

Anzeige

Das letzte Mal gebrannt hatte es in der Kathedrale in Nantes im Jahr 1972. Damals hatte ein Dachdecker mit seinem Schneidbrenner ein Feuer im Dachstuhl ausgelöst. Die Kirche wurde zwischen 1434 und 1891 erbaut.",'Bernhard Sprengel',1595761620,"Panorama,Erneute Festnahme",welt
Die verrückteste Auslosung in der Geschichte des deutschen Fußballs,"An diesem Sonntagabend wird die erste Runde des DFB-Pokals ermittelt. Sie findet vor dem Saisonstart statt. Dabei stehen 23 Teilnehmer noch gar nicht fest. Und die Corona-Krise macht es noch viel bizarrer.

Lostrommel? Eher der Blick in die Glaskugel. Einige Landesverbände sind bei ihren Pokalwettbewerben erst im Viertelfinale angelangt

Anzeige

Pokalauslosung einmal anders: An diesem Sonntagabend wird sie sich vollziehen. Wenn die erste Runde des DFB-Pokals ab 18.30 Uhr live aus dem ARD-„Sportschau“-Studio in Köln ermittelt wird, ist Spannung garantiert – aber auch die Folgen der Corona-Pandemie spielen munter mit. Denn viele Cup-Teilnehmer aus den unteren Fußball-Klassen stehen noch gar nicht fest, zum anderen dürfen die Vertreter der kleinen Vereine wegen der Corona-Regeln nicht – wie sonst üblich – dicht gedrängt im Deutschen Fußballmuseum in Dortmund – dabei sein.

Wo letztlich die Partie ausgetragen wird, dürfte vielfach auch vorerst unklar sein. Denn es ist dieses Mal nicht garantiert, dass die Amateurteams, wie sonst üblich, automatisch Heimrecht haben. Das strenge Hygienekonzept des Deutschen Fußball-Bundes (DFB) ist an manchen Spielorten schlicht nicht durchsetzbar. Dann könnte das Heimrecht getauscht werden. Möglich ist auch, dass die Amateurvereine, die das Konzept nicht umsetzen können, in nahe gelegene Stadien von Profiteams umziehen. Alle potenziellen Vereine müssen bis Mitte August eine Spielstätte benennen.

Der Präsident des Deutschen Fußball-Bundes, Fritz Keller, und die stellvertretende DFB-Generalsekretärin Heike Ullrich nehmen die Ziehung der Lose vor. 23 von 64 Vereinen für die erste Hauptrunde stehen noch nicht fest – für sie werden bei der Auslosung Platzhalter eingesetzt. Das kann was werden.

Einige Teams sind erst im Pokal-Viertelfinale angelangt

Anzeige

Die erste Pokalrunde soll vom 11. bis zum 14. September ausgetragen werden und damit eine Woche vor dem Saisonstart in der Bundesliga und Zweiten Liga. Die zweite Runde findet kurz vor Weihnachten statt (22./23. Dezember). Für das Achtelfinale (2. und 3. Februar 2021) sowie das Viertelfinale (2. und 3. März) gibt es ebenfalls schon feste Termine.

Die Halbfinals sollen nicht wie sonst üblich unter der Woche, sondern am ersten Mai-Wochenende stattfinden. Ebenfalls ungewöhnlich: Das Endspiel im Berliner Olympiastadion ist nicht für einen Samstagabend geplant, sondern wurde auf Donnerstag, den 13. Mai (Christi Himmelfahrt), gesetzt.

An dieser Stelle finden Sie Inhalte aus Twitter Um mit Inhalten aus Twitter und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Bereits qualifiziert sind die 36 Erst- und Zweitligisten der Saison 2019/20. Hinzu kommen aus der vergangenen Drittliga-Spielzeit die Aufsteiger Würzburger Kickers und Eintracht Braunschweig. Auch der FC Ingolstadt und der MSV Duisburg sind dabei, ebenso der 1. FC Magdeburg. Grund: Der Landespokal in Sachsen-Anhalt wurde abgebrochen, der Verband hat Magdeburg als Teilnehmer festgelegt.

Anzeige

Die meisten weiteren Teilnehmer werden in den Pokalendspielen der Landesverbände erst noch ermittelt. Das Problem: Wegen der Corona-Pause wurden nicht nur die Finals verschoben, es stehen sogar noch weit mehr Runden an. Hamburg, Mecklenburg-Vorpommern, Saarland und Württemberg hinken am weitesten hinterher, dort sind die Teams erst im Viertelfinale angelangt.

Lesen Sie auch Talentförderung „Profi ist man, weil man sich den Arsch aufreißt“

Hier finden Sie unseren Liveticker mit allen relevanten Updates zur Corona-Krise.","'Aline Häger', 'Tobias Altschäffl'",1595760440,"Fußball,DFB-Pokal",welt
