title;text
In dem Film landet der Protagonist, gespielt von dem großartigen Flynn Decker, am 22. Oktober 2015 in San Francisco und muss sich mit den technischen Wirren der damaligen Zeit auseinandersetzen. Unvergessen sein urkomischer Umgang mit dem iPhone 6s, das er zunächst für einen Aschenbecher aus dem Jahr 2035 hält.
Zukünftige Fans aus aller Welt bereiten sich seit Monaten auf das Spektakel vor. “Ich werde riesiger Anhänger dieser Filmreihe sein”, so ein amerikanischer Student begeistert. “Es wird interessant sein zu sehen, in wieweit sich die Vergangenheitsvorstellungen des Filmes mit der tatsächlichen Vergangenheit, also der Vergangenheit von morgen, unterscheiden und was wirklich eintreffen wird.”
Tatsächlich wird die Vergangenheit von “Back to the past” nicht immer korrekt getroffen sein. So spaziert Whitfield im Jahr 2015 z.B. in einer Szene über die Golden Gate Bridge, die grün statt rot ist. Dieser Anstrich wird jedoch erst 2021 erfolgen – also erst in sechs Jahren.
Auch politisch wird es der Film nicht so genau nehmen. So wird mehrfach erwähnt, dass Donald Trump bereits US-Präsident sei. Tatsächlich jedoch wird dieser erst im kommenden Jahr gewählt, sprich 2016.
Kinobetreiber kündigten bereits an, alle vier “Back to the past”-Teile hintereinanderweg nicht zeigen zu wollen," da diese noch nicht verfügbar seien."""
"“Kaiser” und BILD: Neuauflage von “Gute Freunde kann niemand trennen” ab Freitag im Handel;""20. Oktober 2015  Gute Nachrichten für alle DFB-Fans: Ab Freitag ist eine Neuauflage des Klassikers “Gute Freunde kann niemand trennen” im Handel. Gesungen von Franz Beckenbauer und der Redaktion der BILD.“Ich hatte schon lange vor", das Lied nochmal einzusingen,” so “Kaiser” Franz Beckenbauer. “Aber ich habe ewig gebraucht, um mir darüber klar zu werden, wer jetzt meine “Guten Freunde” sind .” Am Wochenende war dann die Suche beendet: “Ich hatte so eine Eingebung, dann habe ich beim Sportchef der BILD angerufen, und jetzt sind wir im Studio und Freitag kommt die Scheibe dann raus.”
Der Zeitpunkt und die Eile sind purer Zufall, wie Beckenbauers Management schreibt. “Es gab halt jetzt intuitiv den richtigen Zeitpunkt.”








Erstmals hat Beckenbauer den Song 1966 veröffentlicht, parallel zu seiner Karriere als Fußballer. Damals kam das Lied bis auf Platz 31 der Hitparaden.
“Jetzt hatte ich das Gefühl, ich müsste mich mal wieder bei den Menschen, die mir wirklich nahestehen, irgendwie bedanken. Und das geht immer noch am besten mit einem von Herzen kommenden Lied,” so der “Kaiser”.
