title;text
Vöpel, Dirk
Voßbeck-Kayser, Christel
Vries, Kees de

W

Wadephul, Dr. Johann
Wanderwitz, Marco
Warken, Nina
Wegner, Kai
Weiler, Albert
Weinberg, Marcus
Weisgerber, Dr. Anja
Weiss, Sabine
Wellenreuther, Ingo
Wellmann, Karl-Georg
Wendt, Marian
Westermayer, Waldemar
Westphal, Bernd
Whittaker, Kai
Wichtel, Peter
Widmann-Mauz, Annette
Wiese, Heinz
Wiese, Dirk
Willsch, Klaus-Peter
Winkelmeier-Becker, Elisabeth
Wittke, Oliver
Wöhrl, Dagmar G.
Woltmann, Barbara

Z

Zech, Tobias
Zertik, Heinrich
Zeulner, Emmi
Ziegler, Dagmar
Zierke, Stefan
Zöllmer, Manfred
Zollner, Gudrun
Zypries," Brigitte"""
"Gruppe von Terroristen irrtümlich für Hipster gehalten;""14. Oktober 2015  Weil sie irrtümlich für coole Hipster gehalten wurden", konnte eine Gruppe von IS-Terroristen ihren geplanten Anschlag auf einen Schnellzug nicht durchführen. Stattdessen mussten sie für Selfies herhalten und sind jetzt Internetstars.Drei IS-Terroristen, die in Amsterdam einen Zug Richtung Paris bestiegen um darin ein Massaker an möglichst vielen Unschuldigen zu veranstalten, konnten ihr Vorhaben nicht um die Tat umsetzen, weil sie von vielen Passagieren für coole Hipster gehalten wurden.
Die drei Belgier wollten gerade ihre Waffen aus den Taschen holen, kurz nachdem der Zug den Bahnhof in Amsterdam verließ. Da waren aber schon längst Modestudenten, Designer, Bento- und Ze.tt-Redakteure, Berliner Blogger und einige Twitterer auf die Terroristen aufmerksam geworden. Sie hielten die Attentäter für hippe Trendsetter.








“Es war furchtbar,” so einer der IS-Kämpfer, die lange für ihren Anschlag geübt haben. “Plötzlich waren wir umringt von Leuten, die Selfies mit uns machten.” Schnell war nicht mehr an einen Terroranschlag zu denken.
Unzählige Fotos wurden geschossen und verbreiteten sich rasch im Netz. Nach einer Weile musste gar das Zugpersonal einschreiten und für Ruhe sorgen – nicht, ohne die Bärte der vermeintlichen Hipster gebührend zu bewundern und ebenfalls Fotos zu machen.
Am nächsten Halt verließen die Terroristen dann fluchtartig den Zug. Die Polizei, die bald von dem Vorfall erfahren hat," konnte über den vereitelten Anschlag lachen und ließ die Terroristen laufen."""
"Flüchtlingskrise vergessen: Ganz Deutschland lacht gemeinsam über Holland;""14. Oktober 2015  Ganz Deutschland liegt sich in den Armen und lacht. Durch die verpasste EM-Qualifikation der Holländer haben die deutschen Bundesbürger für einen Moment die Flüchtlingskrise und ihre Sorgen sowie ihre geteilten Ansichten zu diesem Thema vergessen und singen stattdessen gemeinsam den Klassiker “Ohne Holland fahr’n wir zur EM”."
Bereits fünf Minuten nach Abpfiff konnte man in der Bundesrepublik Szenen beobachten, die noch vor kurzem unvorstellbar waren: Nazis und Antifa-Anhänger lagen sich lachend in den Armen und freuten sich gemeinsam darüber, dass Holland nach 30 Jahren das Ticket für die EM in Frankreich im kommenden Jahr verpasst hat. Ähnliche Szenen in Dresden: Ursprünglich besorgte Bürger griffen sich überwältigt vor Freude zahlreiche Flüchtlinge und herzten sie liebevoll.








Für einen Moment war die Flüchtlingsdebatte vergessen. Stattdessen überwog der gemeinsame Spott über Hollands verpasste EM-Qualifikation.
“Ein geiles Gefühl”, so ein Pegida-Anhänger, der einem Syrer überschwänglich zu erklären versuchte, was Holland sei und warum er sich so freute.
Auch in der Politik herrscht nach Wochen heftiger Diskussionen wieder harmonische Eintracht. So sollen Bundeskanzlerin Merkel und CSU-Chef Horst Seehofer heute Vormittag dabei beobachtet worden sein," wie sie gemeinsam auf einer niederländischen Fahne tanzten und dabei fröhlich johlten."""
"Gimmick zum 40. Geburtstag: Yps erscheint mit letztem Bauteil für BER;""13. Oktober 2015  Das Yps-Magazin wird heute stolze 40 Jahre alt! Es ist eine Sonderausgabe geplant", darin als Gimmick enthalten: Das letzte Bauteil für den Berliner Flughafen.Am 13. Oktober 1975 erschien das beliebte Yps-Magazin zum ersten Mal in Deutschland. Populär ist die Zeitschrift vor allem aufgrund der mitunter ausgefallenen Gimmicks geworden. Legendär beispielsweise die Urzeitkrebse, die – in Wasser eingetaucht – wieder zum Leben erwachen.
Aber zum Jubiläum haben sich die Blattmacher etwas ganz Besonderes einfallen lassen: “Wir werden dem Heft das letzte Bauteil für den BER beilegen,” so Chefredakteur Christian Kallenberg. “Deshalb erscheint die Ausgabe auch in einer Gesamtauflage von insgesamt einem Exemplar.” Die Hoffnung ist, dass der aktuelle Flughafenchef (die Redaktion ist zu faul, den Namen zu recherchieren) das Heft kauft.








Wo das Heft erhältlich sein wird, ist noch unklar. Der Preis soll bei etwa 260.000 Euro liegen, was Vermutungen zulässt, um welches Bauteil es sich genau handelt. Fans des Magazins spekulieren bereits – von einer Schiebetür bis zu einem absenkbaren Aschenbecher werden so ziemlich alle denkbaren Utensilien vermutet.
Sie hätten sich diesen Artikel auch vorlesen lassen können: Unter der Rufnummer 0421-98977068 steht unser freundlicher Anrufbeantworter bereit," der ihnen unseren aktuellen Artikel vorliest. (Kostenlos – lediglich Ihre normalen Telefongebühren fallen an!)"""
Sigmar Gabriel optimistisch," “diesen viel zu leichten Galgen zu überleben”;""13. Oktober 2015  Bundeswirtschaftsminister Sigmar Gabriel sieht dem gestern auf dem Pegida-Spaziergang für ihn bereitgestellten Galgen gelassen entgegen. Er hat das Todesurteil akzeptiert", glaubt aber nicht, dass der Galgen ihn wirklich hält. “Es ist zwar ein hartes Urteil, so eine Todesstrafe steckt man nicht so einfach weg,” so der Vizekanzler heute Morgen nach dem bekannt gewordenen Todesurteil, das Pegida für ihn ausgesprochen hat. “Aber gut, das Volk hat halt gesprochen. In einer Demokratie muss man sich dem fügen.”
Er werde auch keine rechtlichen Schritte einleiten, so Gabriel. “Ich bin ja ein ganzer Mann und akzeptiere das Urteil.” Alles andere wäre “peinlich”.








